Query	Subject	% Similarity
TC_RS00265	CTL0047	84.17
TC_RS00265	CT_678	83.9
TC_RS00270	TC_RS00270	100.0
TC_RS00270	CTL0048	84.47
TC_RS00270	CT_679	83.78
TC_RS00275	TC_RS00275	100.0
TC_RS00275	CTL0049	84.61
TC_RS00280	CT_t30	100.0
TC_RS00280	CTL_t11	100.0
TC_RS00280	CPnt23	100.0
TC_RS00280	TC_RS00280	100.0
TC_RS00285	TC_RS00285	100.0
TC_RS00285	CT_681	79.97
TC_RS00285	CTL0050	79.81
TC_RS00290	TC_RS00290	100.0
TC_RS00290	CT_682	81.37
TC_RS00290	CTL0051	81.35
TC_RS00295	TC_RS00295	100.0
TC_RS00295	CTL0052	84.21
TC_RS00295	CT_683	83.79
TC_RS00300	TC_RS00300	100.0
TC_RS00300	CT_684	83.56
TC_RS00300	CTL0053	83.56
TC_RS00305	TC_RS00305	100.0
TC_RS00310	TC_RS00310	100.0
TC_RS00315	TC_RS00315	100.0
TC_RS00320	TC_RS00320	100.0
TC_RS00325	TC_RS00325	100.0
TC_RS00330	TC_RS00330	100.0
TC_RS00330	CT_690	80.0
TC_RS00330	CTL0059	79.94
TC_RS00335	TC_RS00335	100.0
TC_RS00335	CT_691	84.44
TC_RS00335	CTL0060	84.44
TC_RS00340	TC_RS00340	100.0
TC_RS00340	CTL0061	80.81
TC_RS00340	CT_692	80.73
TC_RS00345	TC_RS00345	100.0
TC_RS00345	CTL0062	80.7
TC_RS00345	CT_693	80.28
TC_RS00350	TC_RS00350	100.0
TC_RS00355	TC_RS00355	100.0
TC_RS00360	TC_RS00360	100.0
TC_RS00365	TC_RS00365	100.0
TC_RS00370	TC_RS00370	100.0
TC_RS00370	CTL0067	82.76
TC_RS00370	CT_698	82.61
TC_RS00375	TC_RS00375	100.0
TC_RS00380	TC_RS00380	100.0
TC_RS00385	TC_RS00385	100.0
TC_RS00385	CTL0069	83.14
TC_RS00385	CT_700	82.9
TC_RS00390	TC_RS00390	100.0
TC_RS00390	CTL0070	83.34
TC_RS00390	CT_701	83.1
TC_RS00395	TC_RS00395	100.0
TC_RS00400	TC_RS00400	100.0
TC_RS00400	CT_703	84.0
TC_RS00400	CTL0072	84.0
TC_RS00405	TC_RS00405	100.0
TC_RS00410	TC_RS00410	100.0
TC_RS00410	CT_705	86.12
TC_RS00410	CTL0074	86.12
TC_RS00415	TC_RS00415	100.0
TC_RS00415	CTL0075	87.91
TC_RS00415	CT_706	87.75
TC_RS00420	TC_RS00420	100.0
TC_RS00420	CT_707	83.83
TC_RS00420	CTL0076	83.68
TC_RS00425	CT_t31	100.0
TC_RS00425	CTL_t12	100.0
TC_RS00425	TC_RS00425	100.0
TC_RS00425	CPnt31	98.61
TC_RS04745	TC_RS04745	100.0
TC_RS00430	TC_RS00430	100.0
TC_RS00430	CT_708	85.82
TC_RS00430	CTL0077	85.65
TC_RS00435	TC_RS00435	100.0
TC_RS00435	CPn0850	80.95
TC_RS00440	TC_RS00440	100.0
TC_RS00440	CTL0079	83.44
TC_RS00440	CT_710	83.16
TC_RS00445	TC_RS00445	100.0
TC_RS00450	TC_RS00450	100.0
TC_RS00455	TC_RS00455	100.0
TC_RS00455	CTL0082	82.34
TC_RS00455	CT_713	82.26
TC_RS00460	TC_RS00460	100.0
TC_RS00465	TC_RS00465	100.0
TC_RS00465	CTL0084	79.3
TC_RS00465	CT_715	79.25
TC_RS00470	TC_RS00470	100.0
TC_RS00475	TC_RS00475	100.0
TC_RS00475	CT_717	81.16
TC_RS00475	CTL0086	81.18
TC_RS00480	TC_RS00480	100.0
TC_RS00485	TC_RS00485	100.0
TC_RS00485	CT_719	80.04
TC_RS00485	CTL0088	79.94
TC_RS00490	TC_RS00490	100.0
TC_RS00495	TC_RS00495	100.0
TC_RS00495	TC_RS00500	100.0
TC_RS00500	TC_RS00500	100.0
TC_RS00500	TC_RS00495	100.0
TC_RS00505	TC_RS00505	100.0
TC_RS00505	CT_723	83.8
TC_RS00505	CTL0092	83.8
TC_RS00510	TC_RS00510	100.0
TC_RS00515	TC_RS00515	100.0
TC_RS00520	TC_RS00520	100.0
TC_RS00525	TC_RS00525	100.0
TC_RS00525	CT_727	81.72
TC_RS00525	CTL0096	81.47
TC_RS00530	TC_RS00530	100.0
TC_RS00535	TC_RS00535	100.0
TC_RS00535	CTL0098	83.27
TC_RS00535	CT_729	83.11
TC_RS00540	TC_RS00540	100.0
TC_RS00540	CT_730	78.33
TC_RS00540	CTL0099	78.22
TC_RS00545	TC_RS00545	100.0
TC_RS00545	TC_RS00550	100.0
TC_RS00550	TC_RS00550	100.0
TC_RS00550	TC_RS00545	100.0
TC_RS00555	TC_RS00555	100.0
TC_RS00555	CT_733	80.04
TC_RS00555	CTL0102	79.88
TC_RS00560	TC_RS00560	100.0
TC_RS00560	CTL0103	89.19
TC_RS00560	CT_734	88.89
TC_RS00565	TC_RS00565	100.0
TC_RS00565	CT_735	81.08
TC_RS00565	CTL0104	80.93
TC_RS00565	CPn0876	72.27
TC_RS00570	TC_RS00570	100.0
TC_RS00575	TC_RS00575	100.0
TC_RS00580	TC_RS00580	100.0
TC_RS00580	CT_738	81.92
TC_RS00580	CTL0107	81.92
TC_RS00585	TC_RS00585	100.0
TC_RS00585	CTL0108	82.6
TC_RS00585	CT_739	82.51
TC_RS00590	CT_t32	100.0
TC_RS00590	CTL_t13	100.0
TC_RS00590	TC_RS00590	100.0
TC_RS00590	CPnt32	95.95
TC_RS00595	TC_RS00595	100.0
TC_RS00595	TC_RS00670	100.0
TC_RS00600	TC_RS00675	100.0
TC_RS00600	TC_RS00600	100.0
TC_RS00600	CT_r04	98.45
TC_RS00600	CT_r01	98.45
TC_RS00600	CTL_r02	98.45
TC_RS00600	CTL_r01	98.45
TC_RS00600	CPnr01	94.4
TC_RS00605	TC_RS00605	100.0
TC_RS00605	TC_RS00680	99.97
TC_RS00605	CT_r05	97.94
TC_RS00605	CTL_r03	97.88
TC_RS00605	CT_r02	97.84
TC_RS00605	CTL_r04	97.84
TC_RS00605	CPnr02	93.94
TC_RS00610	TC_RS00685	100.0
TC_RS00610	TC_RS00610	100.0
TC_RS00610	CT_r06	98.26
TC_RS00610	CT_r03	98.26
TC_RS00610	CTL_r06	97.39
TC_RS00610	CTL_r05	97.39
TC_RS00610	CPnr03	93.04
TC_RS00615	TC_RS00615	100.0
TC_RS00620	TC_RS00620	100.0
TC_RS00620	CT_740	82.22
TC_RS00620	CTL0109	82.14
TC_RS00625	TC_RS00625	100.0
TC_RS00625	CT_741	88.12
TC_RS00625	CTL0110	87.83
TC_RS00630	TC_RS00630	100.0
TC_RS00635	TC_RS00635	100.0
TC_RS00640	TC_RS00640	100.0
TC_RS00640	CTL0113	76.21
TC_RS00640	CT_744	76.07
TC_RS00645	TC_RS00645	100.0
TC_RS00650	TC_RS00650	100.0
TC_RS00650	CT_746	82.34
TC_RS00650	CTL0115	82.34
TC_RS00650	CT_747	100.0
TC_RS00650	CTL0116	100.0
TC_RS00650	TC_RS00655	100.0
TC_RS00655	TC_RS00655	100.0
TC_RS00655	CT_747	80.46
TC_RS00655	CTL0116	80.46
TC_RS00655	CT_746	100.0
TC_RS00655	CTL0115	100.0
TC_RS00655	TC_RS00650	100.0
TC_RS00660	TC_RS00660	100.0
TC_RS00660	CTL0117	81.95
TC_RS00660	CT_748	81.83
TC_RS00665	TC_RS00665	100.0
TC_RS00665	CTL0118	81.81
TC_RS00665	CT_749	81.58
TC_RS00670	TC_RS00670	100.0
TC_RS00670	TC_RS00595	100.0
TC_RS00675	TC_RS00675	100.0
TC_RS00675	TC_RS00600	100.0
TC_RS00675	CT_r04	98.45
TC_RS00675	CT_r01	98.45
TC_RS00675	CTL_r02	98.45
TC_RS00675	CTL_r01	98.45
TC_RS00675	CPnr01	94.4
TC_RS00680	TC_RS00680	100.0
TC_RS00680	TC_RS00605	99.97
TC_RS00680	CT_r05	97.91
TC_RS00680	CTL_r03	97.84
TC_RS00680	CT_r02	97.81
TC_RS00680	CTL_r04	97.81
TC_RS00680	CPnr02	93.91
TC_RS00685	TC_RS00685	100.0
TC_RS00685	TC_RS00610	100.0
TC_RS00685	CT_r06	98.26
TC_RS00685	CT_r03	98.26
TC_RS00685	CTL_r06	97.39
TC_RS00685	CTL_r05	97.39
TC_RS00685	CPnr03	93.04
TC_RS00690	TC_RS00690	100.0
TC_RS00690	CTL0119	82.75
TC_RS00690	CPn0893	72.84
TC_RS00695	TC_RS00695	100.0
TC_RS00695	CT_751	82.58
TC_RS00695	CTL0120	82.58
TC_RS00700	TC_RS00700	100.0
TC_RS00700	CT_752	87.43
TC_RS00700	CTL0121	86.78
TC_RS00700	CPn0895	77.74
TC_RS00705	TC_RS00705	100.0
TC_RS00710	TC_RS00710	100.0
TC_RS00710	CT_754	81.83
TC_RS00710	CTL0123	81.83
TC_RS00715	TC_RS00715	100.0
TC_RS00720	CT_t33	100.0
TC_RS00720	CTL_t08	100.0
TC_RS00720	TC_RS00720	100.0
TC_RS00720	CPnt33	98.59
TC_RS00725	TC_RS00725	100.0
TC_RS00725	CTL0125	81.23
TC_RS00725	CT_756	81.08
TC_RS00730	TC_RS00730	100.0
TC_RS00735	TC_RS00735	100.0
TC_RS00735	CT_758	80.89
TC_RS00735	CTL0127	80.89
TC_RS00740	TC_RS00740	100.0
TC_RS00740	CT_759	81.61
TC_RS00740	CTL0128	81.34
TC_RS00745	TC_RS00745	100.0
TC_RS00745	CTL0129	84.54
TC_RS00745	CT_760	84.46
TC_RS00745	TC_RS00750	100.0
TC_RS00750	TC_RS00750	100.0
TC_RS00750	CTL0130	80.38
TC_RS00750	CT_761	80.24
TC_RS00750	TC_RS00745	100.0
TC_RS00755	TC_RS00755	100.0
TC_RS00760	TC_RS00760	100.0
TC_RS00765	TC_RS00765	100.0
TC_RS00770	TC_RS00770	100.0
TC_RS00770	CTL0134	86.79
TC_RS00770	CT_765	86.49
TC_RS00775	TC_RS00775	100.0
TC_RS00775	CTL0135	82.27
TC_RS00775	CT_766	82.19
TC_RS00780	TC_RS00780	100.0
TC_RS00780	CT_767	80.86
TC_RS00780	CTL0136	80.86
TC_RS00785	TC_RS00785	100.0
TC_RS00785	CT_768	81.13
TC_RS00785	CTL0137	80.78
TC_RS00790	TC_RS00790	100.0
TC_RS00790	CT_769	89.17
TC_RS00790	CTL0138	89.17
TC_RS00795	TC_RS00795	100.0
TC_RS00795	CT_770	87.99
TC_RS00795	CTL0139	87.91
TC_RS00800	TC_RS00800	100.0
TC_RS00800	CTL0140	90.73
TC_RS00800	CT_771	90.29
TC_RS00805	TC_RS00805	100.0
TC_RS00810	TC_RS00810	100.0
TC_RS00810	CT_773	79.27
TC_RS00810	CTL0142	79.18
TC_RS00810	TC_RS00815	100.0
TC_RS00815	TC_RS00815	100.0
TC_RS00815	TC_RS00810	100.0
TC_RS00820	TC_RS00820	100.0
TC_RS00820	CT_775	85.08
TC_RS00820	CTL0144	84.95
TC_RS00825	TC_RS00825	100.0
TC_RS00825	CTL0145	83.95
TC_RS00825	CT_776	83.83
TC_RS00830	TC_RS00830	100.0
TC_RS00830	TC_RS00835	100.0
TC_RS00835	TC_RS00835	100.0
TC_RS00835	TC_RS00830	100.0
TC_RS00835	TC_RS00840	100.0
TC_RS00840	TC_RS00840	100.0
TC_RS00840	CT_779	82.91
TC_RS00840	CT_779	95.24
TC_RS00840	CTL0148	82.48
TC_RS00840	TC_RS00835	100.0
TC_RS00845	TC_RS00845	100.0
TC_RS00850	TC_RS00850	100.0
TC_RS00850	CT_781	84.95
TC_RS00850	CTL0150	84.76
TC_RS00855	TC_RS00855	100.0
TC_RS00855	CT_782	82.12
TC_RS00855	CTL0151	82.05
TC_RS00860	TC_RS00860	100.0
TC_RS00860	CT_783	77.49
TC_RS00860	CTL0152	77.3
TC_RS00865	TC_RS00865	100.0
TC_RS04750	TC_RS04750	100.0
TC_RS04750	CT_785	92.75
TC_RS04750	CTL0153A	92.03
TC_RS00870	TC_RS00870	100.0
TC_RS00870	CT_786	93.48
TC_RS00870	CTL0154	93.48
TC_RS00875	TC_RS00875	100.0
TC_RS00875	CTL0155	92.48
TC_RS00875	CT_787	92.16
TC_RS00880	TC_RS00880	100.0
TC_RS04755	TC_RS04755	100.0
TC_RS00885	TC_RS00885	100.0
TC_RS00885	CTL0158	85.22
TC_RS00885	CT_790	85.02
TC_RS00890	TC_RS00890	100.0
TC_RS00890	CT_791	81.55
TC_RS00890	CTL0159	81.52
TC_RS00895	TC_RS00895	100.0
TC_RS00895	CT_792	83.5
TC_RS00895	CTL0160	83.45
TC_RS00900	TC_RS00900	100.0
TC_RS00900	CT_794	81.64
TC_RS00900	CTL0162	81.47
TC_RS00905	TC_RS00905	100.0
TC_RS00910	TC_RS00910	100.0
TC_RS00915	TC_RS00915	100.0
TC_RS00915	CTL0165	80.31
TC_RS00915	CT_796	80.21
TC_RS00920	TC_RS00920	100.0
TC_RS00925	TC_RS00925	100.0
TC_RS00925	CT_798	82.02
TC_RS00925	CTL0167	82.0
TC_RS00930	CT_t34	100.0
TC_RS00930	CTL_t09	100.0
TC_RS00930	TC_RS00930	100.0
TC_RS00930	CPnt34	98.61
TC_RS04760	TC_RS04760	100.0
TC_RS00935	TC_RS00935	100.0
TC_RS00935	CT_799	88.53
TC_RS00935	CTL0168	88.35
TC_RS00940	TC_RS00940	100.0
TC_RS00945	TC_RS00945	100.0
TC_RS00945	CT_801	95.87
TC_RS00945	CTL0170	95.58
TC_RS00950	TC_RS00950	100.0
TC_RS00950	CT_802	95.53
TC_RS00950	CTL0171	95.12
TC_RS00955	TC_RS00955	100.0
TC_RS00955	CT_803	89.86
TC_RS00955	CTL0172	89.86
TC_RS00960	TC_RS00960	100.0
TC_RS00960	CTL0173	77.06
TC_RS00960	CT_804	76.79
TC_RS00965	TC_RS00965	100.0
TC_RS00970	TC_RS00970	100.0
TC_RS00970	CTL0174	81.8
TC_RS00970	CT_805	81.66
TC_RS00975	TC_RS00975	100.0
TC_RS00975	CT_806	79.49
TC_RS00975	CTL0175	79.42
TC_RS00980	TC_RS00980	100.0
TC_RS00980	CTL0176	83.23
TC_RS00980	CT_807	83.05
TC_RS00985	TC_RS00985	100.0
TC_RS00985	CT_808	85.46
TC_RS00985	CTL0177	85.33
TC_RS00990	TC_RS00990	100.0
TC_RS04765	TC_RS04765	100.0
TC_RS04765	CT_810	93.89
TC_RS04765	CTL0181	93.89
TC_RS00995	TC_RS00995	100.0
TC_RS00995	CT_811	80.85
TC_RS00995	CTL0182	80.53
TC_RS01000	TC_RS01000	100.0
TC_RS01000	CTL0183	75.72
TC_RS01000	CT_812	75.57
TC_RS01005	TC_RS01005	100.0
TC_RS01010	TC_RS01010	100.0
TC_RS01015	TC_RS01015	100.0
TC_RS01020	TC_RS01020	100.0
TC_RS01025	TC_RS01025	100.0
TC_RS01030	TC_RS01030	100.0
TC_RS01030	CT_817	82.38
TC_RS01030	CTL0189	82.21
TC_RS01035	TC_RS01035	100.0
TC_RS01035	CT_818	79.81
TC_RS01035	CTL0190	79.81
TC_RS01040	TC_RS01040	100.0
TC_RS01045	TC_RS01045	100.0
TC_RS01050	TC_RS01050	100.0
TC_RS01050	CT_821	81.84
TC_RS01050	CTL0193	81.76
TC_RS01055	TC_RS01055	100.0
TC_RS01055	CTL0194	81.6
TC_RS01060	TC_RS01060	100.0
TC_RS01060	CT_823	82.61
TC_RS01060	CTL0195	82.47
TC_RS01065	TC_RS01065	100.0
TC_RS01065	CTL0196	82.39
TC_RS01065	CT_824	82.36
TC_RS01070	TC_RS01070	100.0
TC_RS01070	CTL0197	82.88
TC_RS01070	CT_825	82.8
TC_RS01075	TC_RS01075	100.0
TC_RS04770	TC_RS04770	100.0
TC_RS01080	TC_RS01080	100.0
TC_RS01080	CTL0199	84.15
TC_RS01080	CT_827	84.02
TC_RS01080	CPn0984	74.52
TC_RS01085	TC_RS01085	100.0
TC_RS01085	CTL0200	86.35
TC_RS01085	CT_828	86.25
TC_RS01085	CPn0985	77.17
TC_RS04775	TC_RS04775	100.0
TC_RS01090	CT_t35	100.0
TC_RS01090	CTL_t36	100.0
TC_RS01090	CPnt35	100.0
TC_RS01090	TC_RS01090	100.0
TC_RS01095	TC_RS01095	100.0
TC_RS01100	TC_RS01100	100.0
TC_RS01105	TC_RS01105	100.0
TC_RS01110	TC_RS01110	100.0
TC_RS01110	CTL0205	93.58
TC_RS01110	CT_833	92.57
TC_RS01115	TC_RS01115	100.0
TC_RS01115	CT_834	98.97
TC_RS01115	CTL0206	98.92
TC_RS01120	TC_RS01120	100.0
TC_RS01120	CTL0207	88.95
TC_RS01120	CT_835	88.14
TC_RS01125	TC_RS01125	100.0
TC_RS01125	CT_836	86.31
TC_RS01125	CTL0208	86.21
TC_RS01130	CTL_t27	100.0
TC_RS01130	TC_RS01130	100.0
TC_RS01130	CT_t36	100.0
TC_RS01130	CPnt36	100.0
TC_RS01135	TC_RS01135	100.0
TC_RS01135	CTL0209	80.9
TC_RS01135	CT_837	80.79
TC_RS01140	TC_RS01140	100.0
TC_RS01145	TC_RS01145	100.0
TC_RS01145	CT_839	84.98
TC_RS01145	CTL0211	84.98
TC_RS01150	TC_RS01150	100.0
TC_RS01150	CTL0212	78.4
TC_RS01150	CT_840	78.3
TC_RS01155	TC_RS01155	100.0
TC_RS01155	CT_841	85.47
TC_RS01155	CTL0213	85.29
TC_RS01160	TC_RS01160	100.0
TC_RS01160	CT_842	83.19
TC_RS01160	CTL0214	83.19
TC_RS01165	TC_RS01165	100.0
TC_RS01165	CT_843	96.28
TC_RS01165	CTL0215	96.28
TC_RS01170	TC_RS01170	100.0
TC_RS01170	CT_844	87.53
TC_RS01170	CTL0216	87.53
TC_RS01175	TC_RS01175	100.0
TC_RS01175	TC_RS01180	100.0
TC_RS01180	TC_RS01180	100.0
TC_RS01180	TC_RS01175	100.0
TC_RS01185	TC_RS01185	100.0
TC_RS01190	TC_RS01190	100.0
TC_RS01195	TC_RS01195	100.0
TC_RS01195	CPn1006	78.69
TC_RS01200	TC_RS01200	100.0
TC_RS01200	CT_849.1	91.01
TC_RS01200	CTL0222	91.01
TC_RS01205	TC_RS01205	100.0
TC_RS01205	TC_RS01210	100.0
TC_RS01210	TC_RS01210	100.0
TC_RS01210	CT_851	84.08
TC_RS01210	CTL0224	84.08
TC_RS01210	TC_RS01205	100.0
TC_RS01215	TC_RS01215	100.0
TC_RS01220	TC_RS01220	100.0
TC_RS01225	TC_RS01225	100.0
TC_RS01225	CTL0227	78.22
TC_RS01225	CT_854	78.05
TC_RS01230	TC_RS01230	100.0
TC_RS01235	TC_RS01235	100.0
TC_RS01235	CT_856	84.45
TC_RS01235	CTL0231	84.4
TC_RS01240	TC_RS01240	100.0
TC_RS01240	TC_RS01245	100.0
TC_RS01245	TC_RS01245	100.0
TC_RS01245	TC_RS01240	100.0
TC_RS01250	TC_RS01250	100.0
TC_RS01255	TC_RS01255	100.0
TC_RS01260	TC_RS01260	100.0
TC_RS01265	TC_RS01265	100.0
TC_RS01270	TC_RS01270	100.0
TC_RS01275	TC_RS01275	100.0
TC_RS01280	TC_RS01280	100.0
TC_RS01280	CT_t37	98.78
TC_RS01280	CTL_t15	98.78
TC_RS01280	CPnt37	97.56
TC_RS01285	TC_RS01285	100.0
TC_RS01290	TC_RS01290	100.0
TC_RS01290	CT_864	81.42
TC_RS01290	CTL0243	81.34
TC_RS01295	TC_RS01295	100.0
TC_RS01295	CT_865	79.76
TC_RS01295	CTL0244	79.66
TC_RS01300	TC_RS01300	100.0
TC_RS01300	CTL0245	82.25
TC_RS01300	CT_866	82.15
TC_RS01305	TC_RS01305	100.0
TC_RS01310	TC_RS01310	100.0
TC_RS01315	TC_RS01315	100.0
TC_RS01320	TC_RS01320	100.0
TC_RS01325	TC_RS01325	100.0
TC_RS01330	TC_RS01330	100.0
TC_RS01335	TC_RS01335	100.0
TC_RS01340	TC_RS01340	100.0
TC_RS01340	CTL0251	78.06
TC_RS01340	CT_872	81.25
TC_RS01345	TC_RS01345	100.0
TC_RS01350	TC_RS01350	100.0
TC_RS01355	TC_RS01355	100.0
TC_RS01360	TC_RS01360	100.0
TC_RS01360	CTL0256	84.25
TC_RS01360	CT_001	83.88
TC_RS01365	TC_RS01365	100.0
TC_RS01365	CT_002	89.4
TC_RS01365	CTL0257	89.4
TC_RS01370	TC_RS01370	100.0
TC_RS01370	CTL0258	84.82
TC_RS01370	CT_003	84.76
TC_RS01375	TC_RS01375	100.0
TC_RS01375	CTL0259	85.56
TC_RS01375	CT_004	85.49
TC_RS01380	TC_RS01380	100.0
TC_RS01385	TC_RS01385	100.0
TC_RS01390	TC_RS01390	100.0
TC_RS01395	TC_RS01395	100.0
TC_RS01395	CT_008	80.92
TC_RS01395	CTL0263	80.92
TC_RS01400	TC_RS01400	100.0
TC_RS01405	TC_RS01405	100.0
TC_RS01405	CTL0265	80.49
TC_RS01405	CT_010	80.41
TC_RS01410	TC_RS01410	100.0
TC_RS01410	CTL0266	81.48
TC_RS01410	CT_011	81.32
TC_RS01415	TC_RS01415	100.0
TC_RS01415	CTL0267	84.42
TC_RS01415	CT_012	84.17
TC_RS01420	TC_RS01420	100.0
TC_RS01420	CTL0268	84.66
TC_RS01420	CT_013	84.45
TC_RS01425	TC_RS01425	100.0
TC_RS01430	TC_RS01430	100.0
TC_RS01435	TC_RS01435	100.0
TC_RS01440	TC_RS01440	100.0
TC_RS01445	TC_RS01445	100.0
TC_RS04780	TC_RS04780	100.0
TC_RS04780	CT_s01	93.36
TC_RS04780	CPns01	83.1
TC_RS01450	TC_RS01450	100.0
TC_RS01450	CTL0274	81.86
TC_RS01455	TC_RS01455	100.0
TC_RS01455	CT_020	81.45
TC_RS01455	CTL0275	81.35
TC_RS01460	TC_RS01460	100.0
TC_RS01465	TC_RS01465	100.0
TC_RS01465	CT_022	90.21
TC_RS01465	CTL0277	89.78
TC_RS01470	TC_RS01470	100.0
TC_RS01475	TC_RS01475	100.0
TC_RS01475	CT_024	80.5
TC_RS01475	CTL0279	80.5
TC_RS01480	TC_RS01480	100.0
TC_RS01480	CTL0280	84.66
TC_RS01480	CT_025	84.54
TC_RS01485	TC_RS01485	100.0
TC_RS01485	CT_026	91.43
TC_RS01485	CTL0281	91.43
TC_RS01490	TC_RS01490	100.0
TC_RS01490	CTL0282	81.37
TC_RS01490	CT_027	81.19
TC_RS01495	TC_RS01495	100.0
TC_RS01495	CT_028	92.35
TC_RS01495	CTL0283	92.35
TC_RS01500	TC_RS01500	100.0
TC_RS01500	CT_029	84.43
TC_RS01500	CTL0284	84.43
TC_RS01505	TC_RS01505	100.0
TC_RS01505	CTL0285	82.39
TC_RS01505	CT_030	82.23
TC_RS01510	TC_RS01510	100.0
TC_RS01515	TC_RS01515	100.0
TC_RS01515	CTL0287	82.9
TC_RS01515	CT_032	82.78
TC_RS01520	TC_RS01520	100.0
TC_RS01520	CTL0288	82.22
TC_RS01520	CT_033	81.99
TC_RS01525	TC_RS01525	100.0
TC_RS01530	TC_RS01530	100.0
TC_RS01530	TC_RS01535	100.0
TC_RS01535	TC_RS01535	100.0
TC_RS01535	TC_RS01530	100.0
TC_RS01540	CT_t01	100.0
TC_RS01540	CTL_t06	100.0
TC_RS01540	CPnt04	100.0
TC_RS01540	TC_RS01540	100.0
TC_RS01545	TC_RS01545	100.0
