muridarum	pneumoniae	trachomatis_434	trachomatis_duw
['TC_RS00080']	[]	['CTL0014']	['CT_646']
['TC_RS03010']	[]	['CTL0573']	['CT_321']
['TC_RS03150']	[]	['CTL0597']	['CT_343']
['TC_RS03830']	[]	['CTL0730']	['CT_470']
['TC_RS00115']	[]	['CTL0021']	['CT_652.1']
['TC_RS01590']	[]	['CTL0303']	['CT_047']
['TC_RS01360']	[]	['CTL0256']	['CT_001']
['TC_RS02145']	[]	['CTL0407']	['CT_152']
['TC_RS03260']	[]	['CTL0618']	['CT_364']
['TC_RS01105']	[]	['CTL0204']	['CT_832']
['TC_RS02040']	[]	['CTL0389']	['CT_134']
['TC_RS04515']	[]	['CTL0864']	['CT_601']
['TC_RS01350']	[]	['CTL0254']	['CT_874']
['TC_RS00395']	[]	['CTL0071']	['CT_702']
['TC_RS04335']	[]	['CTL0828']	['CT_565']
['TC_RS00540']	[]	['CTL0099']	['CT_730']
['TC_RS04185']	[]	['CTL0799']	['CT_537']
['TC_RS04000']	[]	['CTL0763']	['CT_501']
['TC_RS00240']	[]	['CTL0044']	['CT_675']
['TC_RS02045']	[]	['CTL0390']	['CT_135']
['TC_RS03080']	[]	['CTL0584']	['CT_330']
['TC_RS02125']	[]	['CTL0404']	['CT_149']
['TC_RS01810']	[]	['CTL0343']	['CT_088']
['TC_RS02655']	[]	['CTL0504']	['CT_252']
['TC_RS02150']	[]	['CTL0408']	['CT_153']
['TC_RS03895']	[]	['CTL0742']	['CT_481']
['TC_RS01200']	[]	['CTL0222']	['CT_849.1']
['TC_RS00845']	[]	['CTL0149']	['CT_780']
['TC_RS04630']	[]	['CTL0885']	['CT_621']
['TC_RS00105']	[]	['CTL0019']	['CT_651']
['TC_RS00715']	[]	['CTL0124']	['CT_755']
['TC_RS01150']	[]	['CTL0212']	['CT_840']
['TC_RS00530']	[]	['CTL0097']	['CT_728']
['TC_RS04535']	[]	['CTL0867']	['CT_604']
['TC_RS00750']	[]	['CTL0130']	['CT_761']
['TC_RS04005']	[]	['CTL0764']	['CT_502']
['TC_RS03410']	[]	['CTL0648']	['CT_392']
['TC_RS02250']	[]	['CTL0431']	['CT_179']
['TC_RS04795']	[]	['CTL0360']	['CT_105']
['TC_RS00640']	[]	['CTL0113']	['CT_744']
['TC_RS02820']	[]	['CTL0536']	['CT_284']
['TC_RS03835']	[]	['CTL0731']	['CT_471']
['TC_RS03685']	[]	['CTL0703']	['CT_444']
['TC_RS02475']	[]	['CTL0470']	['CT_218']
['TC_RS01035']	[]	['CTL0190']	['CT_818']
['TC_RS03295']	[]	['CTL0625']	['CT_371']
['TC_RS04580']	[]	['CTL0876']	['CT_612']
['TC_RS04615']	[]	['CTL0882']	['CT_618']
['TC_RS04395']	[]	['CTL0840']	['CT_577']
['TC_RS00515']	[]	['CTL0094']	['CT_725']
['TC_RS01780']	[]	['CTL0338']	['CT_082']
['TC_RS02070']	[]	['CTL0395']	['CT_140']
['TC_RS01220']	[]	['CTL0226']	['CT_853']
['TC_RS03775']	[]	['CTL0721']	['CT_461']
['TC_RS00765']	[]	['CTL0133']	['CT_764']
['TC_RS02445']	[]	['CTL0466']	['CT_214']
['TC_RS00470']	[]	['CTL0085']	['CT_716']
['TC_RS01610']	[]	['CTL0307']	['CT_051']
['TC_RS01785']	[]	['CTL0338A']	['CT_083']
['TC_RS00990']	[]	['CTL0178']	['CT_809']
['TC_RS03040']	[]	['CTL0577']	['CT_325']
['TC_RS01445']	[]	['CTL0273']	['CT_018']
['TC_RS04170']	[]	['CTL0796']	['CT_534']
['TC_RS01010']	[]	['CTL0185']	['CT_814']
['TC_RS03245']	[]	['CTL0615']	['CT_361']
['TC_RS02640']	[]	['CTL0500A']	['CT_249']
['TC_RS01215']	[]	['CTL0225']	['CT_852']
['TC_RS01525']	[]	['CTL0289']	['CT_034']
['TC_RS00905']	[]	['CTL0163']	['CT_794.1']
['TC_RS02285']	[]	['CTL0436']	['CT_184']
['TC_RS03940']	[]	['CTL0751']	['CT_490']
['TC_RS04255']	[]	['CTL0811']	['CT_549']
['TC_RS01175']	[]	['CTL0217']	['CT_845']
['TC_RS03270']	[]	['CTL0620']	['CT_366']
['TC_RS01380']	[]	['CTL0260']	['CT_005']
['TC_RS00865']	[]	['CTL0153']	['CT_784']
['TC_RS00815']	[]	['CTL0143']	['CT_774']
['TC_RS02300']	[]	['CTL0439']	['CT_187']
['TC_RS00860']	[]	['CTL0152']	['CT_783']
['TC_RS03250']	[]	['CTL0616']	['CT_362']
['TC_RS03035']	[]	['CTL0576']	['CT_324']
['TC_RS04200']	[]	['CTL0801']	['CT_539']
['TC_RS04375']	[]	['CTL0836']	['CT_573']
['TC_RS00710']	[]	['CTL0123']	['CT_754']
['TC_RS01880']	[]	['CTL0357']	['CT_102']
['TC_RS00245']	[]	['CTL0045']	['CT_676']
['TC_RS00225']	[]	['CTL0042']	['CT_673']
['TC_RS01875']	[]	['CTL0356']	['CT_101']
['TC_RS01745']	[]	['CTL0330']	['CT_074']
['TC_RS03825']	[]	['CTL0729']	['CT_469']
['TC_RS03990']	[]	['CTL0761']	['CT_499']
['TC_RS02115']	[]	['CTL0402']	['CT_147']
['TC_RS02395']	[]	['CTL0458']	['CT_206']
['TC_RS04825']	[]	['CTL0758']	['CT_496.1']
['TC_RS04145']	[]	['CTL0791']	['CT_529']
['TC_RS01385']	[]	['CTL0261']	['CT_006']
['TC_RS00215']	[]	['CTL0040']	['CT_671']
['TC_RS03235']	[]	['CTL0613']	['CT_359']
['TC_RS01535']	[]	['CTL0291']	['CT_036']
['TC_RS03275']	[]	['CTL0621']	['CT_367']
['TC_RS00360']	[]	['CTL0065']	['CT_696']
['TC_RS00075']	[]	['CTL0013']	['CT_645']
['TC_RS04620']	[]	['CTL0883']	['CT_619']
['TC_RS01180']	[]	['CTL0218']	['CT_846']
['TC_RS03625']	[]	['CTL0692']	['CT_433']
['TC_RS02185']	[]	['CTL0421']	['CT_166', 'CT_168']
['TC_RS03050']	[]	['CTL_t21']	['CT_t13']
['TC_RS03265']	[]	['CTL0619']	['CT_365']
['TC_RS00840']	[]	['CTL0148']	['CT_779']
['TC_RS04665']	[]	['CTL0892']	['CT_628']
['TC_RS00350']	[]	['CTL0063']	['CT_694']
['TC_RS01295']	[]	['CTL0244']	['CT_865']
['TC_RS02615']	[]	['CTL0496']	['CT_244']
['TC_RS04565']	[]	['CTL0873']	['CT_609']
['TC_RS03595']	[]	['CTL0686']	['CT_427']
['TC_RS03520']	[]	['CTL0671']	['CT_414']
['TC_RS03735']	[]	['CTL0713']	['CT_453']
['TC_RS03115']	[]	['CTL0591']	['CT_337']
['TC_RS04495']	[]	['CTL0861']	['CT_597']
['TC_RS03670']	[]	['CTL0701']	['CT_442']
['TC_RS03390']	[]	['CTL0644']	['CT_388']
['TC_RS03915']	[]	['CTL0746']	['CT_485']
['TC_RS03200']	[]	['CTL0607']	['CT_353']
['TC_RS00960']	[]	['CTL0173']	['CT_804']
['TC_RS00480']	[]	['CTL0087']	['CT_718']
['TC_RS02920']	[]	['CTL0555']	['CT_303']
['TC_RS01365']	[]	['CTL0257']	['CT_002']
['TC_RS04590']	[]	['CTL0878']	['CT_614']
['TC_RS02880']	[]	['CTL0548']	['CT_296']
['TC_RS01770']	[]	['CTL0335']	['CT_079']
['TC_RS01900']	[]	['CTL0361']	['CT_106']
['TC_RS03180']	[]	['CTL0603']	['CT_349']
['TC_RS04550']	[]	['CTL0870']	['CT_606.1']
['TC_RS00485']	[]	['CTL0088']	['CT_719']
['TC_RS04245']	[]	['CTL0809']	['CT_547']
['TC_RS04500']	[]	['CTL0861A']	['CT_598']
['TC_RS03160']	[]	['CTL0599']	['CT_345']
['TC_RS03475']	[]	['CTL0662']	['CT_405']
['TC_RS04240']	[]	['CTL0808']	['CT_546']
['TC_RS02725']	[]	['CTL0518']	['CT_266']
['TC_RS03340']	[]	['CTL0635']	['CT_380']
['TC_RS00740']	[]	['CTL0128']	['CT_759']
['TC_RS02065']	[]	['CTL0394']	['CT_139']
['TC_RS01955']	[]	['CTL0372']	['CT_117']
['TC_RS01005']	[]	['CTL0184']	['CT_813']
