		NCBI 								Transposon mutants									In vitro screening		In vivo screening		UniProt							Pubmed											String 		Pubmed	effectors.org			Phobius	RCSB PDB	Pubmed		ODB/DOOR/Pubmed
CT030	CTL0285	L2/434/BU	471472	gmk	356045	356662	+	5858565															YP_001654369.1	205	O84033	guanylate kinase						0	25920978					Constitutive	12730178		272561.CT030.	ndk, nrdA, nrdB	none	N	0	Guanylate Kinase, Thymidylate Kinase	Non Cytoplasmic	Yes			
CT031	CTL0286	L2/434/BU	471472	-	356655	356957	+	5858755															YP_001654370.1	100	O84034	hypothetical protein CTL0286						2	25920978					Constitutive	12730178		272561.CT031.	none	none	N	0	0	Cytoplasmic	No			
CT032	CTL0287	L2/434/BU	471472	metG	356957	358609	+	5857972															YP_001654371.1	550	O84035	methionyl-tRNA synthetase						2	25920978					Constitutive	12730178		272561.CT032.	pheT, argS, gltX, leuS, ileS, lysS, proS	none	N	0.944	tRNA syhtnase, anticodon	Non-Cytoplasmic	Yes			
CT033	CTL0288	L2/434/BU	471472	recD	358748	360988	-	5858314															YP_001654372.1	746	O84036	exodeoxyribonuclease V subunit alpha						3	25920978					Constitutive	12730178		272561.CT033.	recB, topA	none	N	0	Viral helicase, Helicase RecD	Non-Cytoplasmic	Yes			
CT034	CTL0289	L2/434/BU	471472	-	361236	362216	-	5858003															YP_001654373.1	326	O84037	membrane transport/efflux protein						4	25920978					Constitutive	12730178		272561.CT034.	none	none	Y	1	EamA	?	No			
CT035	CTL0290	L2/434/BU	471472	-	362599	363372	+	5858066															YP_001654374.1	257	O84038	protein ligase						2	25920978					Very_Late	12730178		272561.CT035.	none	none	N	0	Biotin-protein ligase	Non-cytoplasmic	No			
CT036	CTL0291	L2/434/BU	471472	-	363337	364494	-	5857974															YP_001654375.1	385	O84039	hypothetical protein CTL0291						7	25920978					Constitutive	12730178		272561.CT036.	none	none	N	0	0	Cytoplasmic	No			
CT038	CTL0293	L2/434/BU	471472	-	365040	365384	-	5858345															YP_001654376.1	114	O84041	hypothetical protein CTL0293						2	25920978					Constitutive	12730178		272561.CT038.	none	none	N	0.842	0	Non-Cytoplasmic	No			
CT039	CTL0294	L2/434/BU	471472	dcd	365406	365978	-	5858212															YP_001654377.1	190	O84042	deoxycytidine triphosphate deaminase						1	25920978					Constitutive	12730178		272561.CT039.	ndk, dut	none	N	0	dUTPase	Non-Cytoplasmic	Yes			
CT039.1	CTL0295	L2/434/BU	471472	-	366065	366217	+	5858206															YP_001654378.1	50	O84043	hypothetical protein CTL0295						1	25920978					ND	12730178		272561.CT039.1.	none	none	N	0	0	Non-Cytoplasmic	No			
CT040	CTL0296	L2/434/BU	471472	ruvB	366259	367263	+	5858509															YP_001654379.1	334	O84044	Holliday junction DNA helicase RuvB						4	25920978					Late	12730178		272561.CT040.	ruvA, ruvC	none	N	0	RuvB, AAA	Non-Cytoplasmic	Yes			
CT041	CTL0297	L2/434/BU	471472	-	367265	368077	+	5858061															YP_001654380.1	270	O84045	hypothetical protein CTL0297						0	25920978					Late	12730178		272561.CT041.	none	none	N	0	0	Non-Cytoplasmic	No			
CT042	CTL0298	L2/434/BU	471472	-	368138	370138	-	5858637															YP_001654381.1	666	O84046	glycosyl hydrolase						6	25920978					Constitutive	12730178		272561.CT042.	glgF, glgA, glgC, malQ, glgB	none	N	0	0	Non-Cytoplasmic	Yes			
CT043	CTL0299	L2/434/BU	471472	-	370259	370762	-	5858729															YP_001654382.1	167	O84047	type III secretion system chaperone						3	25920978					Mid_Late	12730178		272561.CT043.	none	none	N	0	0	Non-Cytoplasmic	No			
CT045	CTL0301	L2/434/BU	471472	-	372044	373543	+	5858119															YP_001654384.1	499	O84049	leucyl aminopeptidase						3	25920978					Mid_Late	12730178		272561.CT045.	none	none	N	0	0	Non-Cytoplasmic	No			
CT046	CTL0302	L2/434/BU	471472	hct2	373681	374352	+	5858142															YP_001654385.1	223	D6MJ70	histone-like protein 2						0	25920978					Late	12730178		272561.CT046.	none	none	N	0	0	Non-Cytoplasmic	No			
CT047	CTL0303	L2/434/BU	471472	-	374507	375451	+	5858004															YP_001654386.1	314	O84050	hypothetical protein CTL0303						3	25920978					Constitutive	12730178		272561.CT047.	dnaX2, dnaX1, dnaN, dnaE	none	Y	1	0	Non-Cytoplasmic	No			
CT048	CTL0304	L2/434/BU	471472	-	375546	376259	+	5857980															YP_001654387.1	237	O84051	SAM-dependent methyltransferase						1	25920978					Mid_Late	12730178		272561.CT048.	none	none	N	0	0	Non-Cytoplasmic	No			
CT049	CTL0305	L2/434/BU	471472	-	376350	377822	+	5858116															YP_001654388.1	490	O84052	hypothetical protein CTL0305						12	25920978					Late	12730178		272561.CT049.	none	none	Y	1	0	Non-Cytoplasmic	No			
CT050	CTL0306	L2/434/BU	471472	-	377881	379548	-	5858115															YP_001654389.1	555	O84053	hypothetical protein CTL0306						12	25920978					Late	12730178		272561.CT050.	none	none	N	0.999	0	Non-Cytoplasmic	No			
CT051	CTL0307	L2/434/BU	471472	-	379584	381275	-	5857941															YP_001654390.1	563	O84054	hypothetical protein CTL0307						9	25920978					Late	12730178		272561.CT051.	none	none	N	0	0	Cytoplasmic	No			
CT052	CTL0308	L2/434/BU	471472	hemN	381336	382466	-	5857937															YP_001654391.1	376	O84055	coproporphyrinogen III oxidase						1	25920978					Late	12730178		272561.CT052.	hemE, hemG	none	N	0	0	Non-Cytoplasmic	No			
CT053	CTL0309	L2/434/BU	471472	-	382456	382902	-	5858057															YP_001654392.1	148	O84056	hypothetical protein CTL0309						0	25920978					Mid_Late	12730178		272561.CT053.	none	none	N	0	0	Cytoplasmic	No			
CT054	CTL0310	L2/434/BU	471472	sucA	383234	385945	+	5857947															YP_001654393.1	903	O84057	2-oxoglutarate dehydrogenase E1 component						11	25920978					Constitutive	12730178		272561.CT054.	sucB1, sucB2, aceF, sucC, lpdA, sucD, sdhB, sdhA, pdhA/B, sdhC	None	N	0	0	Non-Cytoplasmic	No			
CT055	CTL0311	L2/434/BU	471472	sucB	385949	387046	+	5858187															YP_001654394.1	365	O84058	dihydrolipoamide succinyltransferase						2	25920978					Constitutive	12730178		272561.CT055.	sucA, pdhA/B. sucC, sucD, lpdA, pdhB, aceE, sdhB	none	N	0	0	Non-Cytoplasmic	No			
CT056	CTL0312	L2/434/BU	471472	-	387075	387806	-	5858186															YP_001654395.1	243	O84059	hypothetical protein CTL0312						1	25920978					Constitutive	12730178		272561.CT056.	none	none	N	0	0	Non-Cytoplasmic	No			
CT057	CTL0313	L2/434/BU	471472	gcpE	387815	389623	-	5858498															YP_001654396.1	602	O84060	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase						0	25920978					Constitutive	12730178		272561.CT057.	ispH, ispF, dxr	none	N	0	0	Non-Cytoplasmic	No			
CT058	CTL0314	L2/434/BU	471472	-	389775	390866	-	5858211															YP_001654397.1	363	O84061	hypothetical protein CTL0314						4	25920978					Constitutive	12730178		272561.CT058.	none	none	N	0	0	Cytoplasmic	No			
CT059	CTL0315	L2/434/BU	471472	fer	390946	391221	-	5858022															YP_001654398.1	91	O84062	ferredoxin						0	25920978					Constitutive	12730178		272561.CT059.	CT720, yhfO, yhfO2	none	N	0	ferredoxin	Non-Cytoplasmic	No			
CT060	CTL0316	L2/434/BU	471472	flhA	391403	393220	+	5858276															YP_001654399.1	605	O84063	type III secretion system protein						4	25920978					Constitutive	12730178		272561.CT060.	yscU, fliI, yscN, yscL, fliA	none	N	0	0	???	No			
CT061	CTL0317	L2/434/BU	471472	fliA	393328	394089	+	5858702															YP_001654400.1	253	O84064	RNA polymerase sigma factor sigma-28						1	25920978					Constitutive	12730178		272561.CT061.	flhA, fliI, rsbQ, fliF	none	N	0	0	Non-Cytoplasmic	No			
CT062	CTL0318	L2/434/BU	471472	tyrS	394248	395486	+	5857979															YP_001654401.1	412	O84065	tyrosyl-tRNA synthetase						0	25920978					Mid_Late	12730178		272561.CT062.	none	none	N	0	tRNA synthetase	Non-Cytoplasmic	No			
CT063	CTL0319	L2/434/BU	471472	gnd	395496	396938	+	5858811															YP_001654402.1	480	O84066	6-phosphogluconate dehydrogenase						2	25920978					Constitutive	12730178		272561.CT063.	pgl, rpe, rpiA, zwf	none	N	0	NAD binding	Non-Cytoplasmic	Yes			
CT064	CTL0320	L2/434/BU	471472	lepA	396999	398807	-	5858447															YP_001654403.1	602	O84067	GTP-binding protein LepA						5	25920978					Constitutive	12730178		272561.CT064.	rpsL, rplK	none	N	0	LepA C, Ras	Non-Cytoplasmic	Yes			
CT065	CTL0321	L2/434/BU	471472	-	398993	400579	-	5857987															YP_001654404.1	528	O84068	ADP,ATP carrier protein						1	25920978					Constitutive	12730178		272561.CT065.	none	none	N	0	0	???	No			
CT066	CTL0322	L2/434/BU	471472	-	400930	401406	-	5858511															YP_001654405.1	158	O84069	hypothetical protein CTL0322						2	25920978					Mid_Late	12730178		272561.CT066.	none	none	N	0.994	0	Non-Cytoplasmic	No			
CT067	CTL0323	L2/434/BU	471472	-	402067	403047	+	5858524															YP_001654406.1	326	Q9S529	ABC transporter substrate-binding protein						2	25920978					Constitutive	12730178		272561.CT067.	troC, CT070, troB, CT47, CT416	none	N	0	0	Non-Cytoplasmic	No			
CT068	CTL0324	L2/434/BU	471472	-	403040	403819	+	5858528															YP_001654407.1	259	O84071	ABC transporter ATP-binding protein						2	25920978					Constitutive	12730178		272561.CT068.	troC, CT070, CT067, CT417, CT415, dxr	none	N	0	ABC transferase, ATPase	Non-Cytoplasmic	No			
CT069	CTL0325	L2/434/BU	471472	-	403820	405175	+	5858526															YP_001654408.1	451	O84072	ABC transporter permease						3	25920978					Constitutive	12730178		272561.CT069.	troB, CT067, CT070, CT416, CT415, dxr	none	N	0	0	Non-Cytoplasmic	No			
CT070	CTL0326	L2/434/BU	471472	-	405165	406121	+	5858525															YP_001654409.1	318	O84073	ABC transporter permease						2	25920978					Constitutive	12730178		272561.CT070.	troB, CT067, troC, CT416, dxr, CT415	none	N	0	0	???	No			
CT071	CTL0327	L2/434/BU	471472	dxr	406148	407287	+	5858512															YP_001654410.1	379	O84074	1-deoxy-D-xylulose 5-phosphate reductoisomerase						2	25920978					Constitutive	12730178		272561.CT071.	dxs, ispD, ispF, troC	none	N	0	0	Non-Cytoplasmic	No			
CT072	CTL0328	L2/434/BU	471472	-	407483	409342	+	5858619															YP_001654411.1	619	O84075	protease						6	25920978					Constitutive	12730178		272561.CT072.	yaeT	none	N	0	0	Cytoplasmic	No			
CT073	CTL0329	L2/434/BU	471472	-	409289	410266	-	5858557															YP_001654412.1	325	O84076	hypothetical protein CTL0329						3	25920978					Late	12730178		272561.CT073.	none	none	N	0	0	Non-cytoplasmic	No			
CT074	CTL0330	L2/434/BU	471472	recF	410424	411521	-	5858158															YP_001654413.1	365	O84077	recombination protein F						2	25920978					Constitutive	12730178		272561.CT074.	dnaN, recR, dnaA1, dnaA2, gyrB	none	N	0	0	Non-cytoplasmic	No			
CT075	CTL0331	L2/434/BU	471472	dnaN	411521	412771	-	5858548															YP_001654414.1	416	O84078	DNA polymerase III subunit beta						2	25920978					Constitutive	12730178		272561.CT075.	polA, nrdA, dnaX1, gyrB, gyrA, recF, dnaE, nrdB, dnaA1, dnaA2	none	N	0	0	Non-Cytoplasmic	Yes			
CT076	CTL0332	L2/434/BU	471472	smpB	412901	413356	+	5858205															YP_001654415.1	151	O84079	SsrA-binding protein						0	25920978					Constitutive	12730178		272561.CT076.	rpsK, rpsM, rpsC, rpsJ, rpsE, rpsI, rs2	none	N	0	0	Non-Cytoplasmic	Yes			
CT077	CTL0333	L2/434/BU	471472	apbE	413334	414284	-	5858601															YP_001654416.1	316	O84080	thiamine biosynthesis lipoprotein						0	25920978					ND	12730178		272561.CT077.	gspD	none	N	0	0	Non-Cytoplasmic	No			
CT078	CTL0334	L2/434/BU	471472	folD	414254	415117	-	5858626															YP_001654417.1	287	O84081	bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase						2	25920978					Constitutive	12730178		272561.CT078.	glyA, ydfA, fmt, lpdA, folKP	none	N	0	THF DHG CYH	Non-Cytoplasmic	Yes			
CT079	CTL0335	L2/434/BU	471472	-	415235	415630	-	5858585															YP_001654418.1	131	O84082	integral membrane protein						3	25920978					Constitutive	12730178		272561.CT079.	none	none	N	0	0	???	No			
CT080	CTL0336	L2/434/BU	471472	ltuB	415955	416248	+	5858108															YP_001654419.1	97	Q46404	late transcription unit B protein						1	25920978					Late	12730178		272561.CT080.	none	none	N	0	0	Cytoplasmic	No			
CT081	CTL0337	L2/434/BU																														3	25920978																		
CT082	CTL0338	L2/434/BU	471472	-	416611	418293	+	5858549															YP_001654421.1	560	O84084	hypothetical protein CTL0338						6	25920978	subst	KH unpub			Late	12730178		272561.CT082.	CT083	none	Y	1	0	Non-Cytoplasmic	No			
CT083	CTL0338A	L2/434/BU	471472	-	418290	418772	+	5858790															YP_001654422.1	160	O84085	hypothetical protein CTL0338A						2	25920978					Late	12730178		272561.CT083.	CT082	none	N	0	0	Non-Cytoplasmic	No			
CT084	CTL0339	L2/434/BU	471472	-	418786	419871	-	5858797															YP_001654423.1	361	O84086	phosphatidylcholine-hydrolyzing phospholipase D (PLD) protein						1	25920978	subst	KH unpub			Late	12730178		272561.CT084.	cdsA	none	N	0	PLDc	Non-Cytoplasmic	Yes			
CT085	CTL0340	L2/434/BU	471472	-	420042	421781	-	5858556															YP_001654424.1	579	O84087	decarboxylase						1	25920978					Constitutive	12730178		272561.CT085.	ubiA, CT220	none	N	0	UBiD	Non-Cytoplasmic	No			
CT086	CTL0341	L2/434/BU	471472	rpmB	421901	422170	-	5858052															YP_001654425.1	89	O84088	50S ribosomal protein L28						0	25920978					Constitutive	12730178		272561.CT086.	rpmG, rpmA, rplQ, rplP, rplU, rplS, rplC, rplB, rplF, rplA	none	N	0	Ribosomal L28	Non-cytoplasmic	No			
CT087	CTL0342	L2/434/BU	471472	malQ	422319	423902	-	5858076															YP_001654426.1	527	O84089	4-alpha-glucanotransferase						7	25920978					Constitutive	12730178		272561.CT087.	glgB, glgX, glgF	none	Y	1	Glyco Hydro 77	Non-cytoplasmic	Yes			
CT088	CTL0343	L2/434/BU	471472	scc1	423906	424346	-	5858067															YP_001654427.1	146	O84090	type III secretion chaperone						1	25920978					Constitutive	12730178		272561.CT088.	none	none	Y	1	0	Non-Cytoplasmic	No			
CT089	CTL0344	L2/434/BU	471472	copN	424384	425649	-	5858087															YP_001654428.1	421	O84091	low calcium response protein E						4	25920978					Mid_Late	12730178		272561.CT089.	lcrD	none	N	0	0	Non-Cytoplasmic	No			
CT090	CTL0345	L2/434/BU	471472	lcrD	425667	427793	-	5858608															YP_001654429.1	708	O84092	low calcium response protein D						1	25920978					Mid_Late	12730178		272561.CT090.	yscU, yscN, yscJ, yscT, lcrE	none	N	0	0	Cytoplasmic	No			
CT091	CTL0346	L2/434/BU	471472	sctU	427793	428875	-	5858605															YP_001654430.1	360	O84093	type III secretion system protein						1	25920978					Constitutive	12730178		272561.CT091.	lcrD, flhA, yscN, yscR, yscJ, ysc T, fliI, yscL, fliF, CT672	none	N	0	0	cytoplasmic	Yes			
CT092	CTL0347	L2/434/BU	471472	-	429132	430232	+	5858027															YP_001654431.1	366	O84094	GTP-dependent nucleic acid-binding protein EngD						3	25920978					Constitutive	12730178		272561.CT092.	none	none	N	0	Ychf-GTPase C	Non-Cytoplasmic	Yes			
CT093	CTL0348	L2/434/BU	471472	ribF	430241	431146	-	5858058															YP_001654432.1	301	A7XZ13	bifunctional riboflavin kinase/FMN adenylyltransferase						1	25920978					Constitutive	12730178		272561.CT093.	ribC, truB, ribH, ribD, infB, nusA, rbfA	none	N	0	0	Non-Cytoplasmic	No			
CT094	CTL0349	L2/434/BU	471472	truB	431103	431828	-	5858161															YP_001654433.1	241	O84096	tRNA pseudouridine synthase B						1	25920978					Constitutive	12730178		272561.CT094.	infB, ribF, rbfA, rpsO, rpsA, truA	none	N	0	TruB N	Non-Cytoplasmic	Yes			
CT095	CTL0350	L2/434/BU	471472	rbfA	431866	432237	-	5858822															YP_001654434.1	123	O84097	ribosome-binding factor A						0	25920978					Constitutive	12730178		272561.CT095.	truB, infB, nusA, ribF	none	N	0	0	Cytoplasmic	Yes			
CT096	CTL0351	L2/434/BU	471472	infB	432244	434934	-	5858152															YP_001654435.1	896	O84098	translation initiation factor IF-2						6	25920978					Constitutive	12730178		272561.CT096.	rpsH, rplC, rpsG, truB, rpsC, rplB, rplD, rpsO, nusA, rplK	none	N	0	IF2, IF2 N, Ras	Non-Cytoplasmic	Yes			
CT097	CTL0352	L2/434/BU	471472	nusA	434891	436195	-	5857991															YP_001654436.1	434	O84099	transcription elongation factor NusA						4	25920978					Constitutive	12730178		272561.CT097.	infB, rpoC, rpoB, rbfA	none	N	0	KH 2	Non-Cytoplasmic	Yes			
CT098	CTL0353	L2/434/BU	471472	rpsA	436313	438022	-	5858770															YP_001654437.1	569	O84100	30S ribosomal protein S1						1	25920978					Constitutive	12730178		272561.CT098.	tsf, rplJ, tuf, truB, cmk, ispH, rpsJ, rs2, rplA	none	N	0	0	Non-Cytoplasmic	Yes			
CT099	CTL0354	L2/434/BU	471472	trxB	438267	439322	+	5857977															YP_001654438.1	351	O84101	thioredoxin reductase						5	25920978					Constitutive	12730178		272561.CT099.	trxA, ahpC, CT783. CT780	none	N	0	Pyr redox, FAD binding	Non-Cytoplasmic	No			
CT100	CTL0355	L2/434/BU	471472	acpS	439328	439687	+	5858816															YP_001654439.1	119	O84102	4\'-phosphopantetheinyl transferase						0	25920978					Constitutive	12730178		272561.CT100.	acpP, coaE	none	N	0	ACPS	Non-Cytoplasmic	Yes			
CT101	CTL0356	L2/434/BU	471472	mrcA	439688	440149	-	5858616															YP_001654440.1	153	O84103	hypothetical protein CTL0356						2	25920978					Constitutive	12730178		272561.CT101.	none	none				Cytoplasmic*	no			
CT102	CTL0357	L2/434/BU	471472	-	440285	440746	+	5858538															YP_001654441.1	153	O84104	hypothetical protein CTL0357						1	25920978	subst	KH unpub			Constitutive	12730178		272561.CT102.	CT672	none				Cytoplasmic	No			
CT103	CTL0358	L2/434/BU	471472	-	440781	441677	+	5858587															YP_001654442.1	298	O84105	hypothetical protein CTL0358						3	25920978					Constitutive	12730178		272561.CT103.	none	none	N	0	haloacid dehalogenase-like hydrolase	Non-Cytoplasmic	No			
CT104	CTL0359	L2/434/BU	471472	fabI	441667	442563	-	5858016															YP_001654443.1	298	O84106	enoyl-(acyl carrier protein) reductase						1	25920978					Constitutive	12730178		272561.CT104.	fabZ, fabF, fabH, lpxC	none				Non-Cytoplasmic	Yes			
CT105	CTL0360	L2/434/BU	471472	-	442875	444845	+	5858716															YP_001654444.1	656	O84107	hypothetical protein CTL0360						10	25920978					Constitutive	12730178		none	none	none				Non-Cytoplasmic	No			
CT106	CTL0361	L2/434/BU	471472	-	445045	445869	-	5857948															YP_001654445.1	274	O84108	tRNA pseudouridine synthase A						4	25920978					Constitutive	12730178		272561.CT106.	yjbC	none				Non-Cytoplasmic	Yes			
