Entry	Gene names  (ordered locus )	Gene names  (primary )	Protein names	Organism	Cross-reference (RefSeq)	Cross-reference (EMBL)	EnsemblBacteria transcript
Q1D294	MXAN_5075	prs	Ribose-phosphate pyrophosphokinase (RPPK) (EC 2.7.6.1) (5-phospho-D-ribosyl alpha-1-diphosphate) (Phosphoribosyl diphosphate synthase) (Phosphoribosyl pyrophosphate synthase) (P-Rib-PP synthase) (PRPP synthase) (PRPPase)	Myxococcus xanthus (strain DK 1622)	WP_011555049.1;	CP000113;	ABF90710;
Q1DEM0	MXAN_0635	pomZ	Cell division protein PomZ (Adventurous gliding motility protein E) (Positioning at midcell of FtsZ)	Myxococcus xanthus (strain DK 1622)	WP_011550766.1;	AY204464;CP000113;	ABF86116;
Q1D401	MXAN_4451	eno	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	Myxococcus xanthus (strain DK 1622)	WP_011554450.1;	CP000113;	ABF90869;
Q1D4U7	MXAN_4151	coaX	Type III pantothenate kinase (EC 2.7.1.33) (PanK-III) (Pantothenic acid kinase)	Myxococcus xanthus (strain DK 1622)	WP_011554154.1;	CP000113;	ABF92916;
Q1CY83	MXAN_6517	metK	S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (MAT) (Methionine adenosyltransferase)	Myxococcus xanthus (strain DK 1622)	WP_011556448.1;	CP000113;	ABF89602;
Q1D6Y8	MXAN_3388	carB	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase ammonia chain)	Myxococcus xanthus (strain DK 1622)	WP_011553421.1;	CP000113;	ABF92803;
Q1CYM6	MXAN_6373	pfkA	ATP-dependent 6-phosphofructokinase (ATP-PFK) (Phosphofructokinase) (EC 2.7.1.11) (Phosphohexokinase)	Myxococcus xanthus (strain DK 1622)	WP_011556305.1;	CP000113;	ABF87778;
Q1DAT3	MXAN_2005		dITP/XTP pyrophosphatase (EC 3.6.1.66) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase)	Myxococcus xanthus (strain DK 1622)	WP_011552095.1;	CP000113;	ABF89353;
Q1DDU5	MXAN_0917	kynU	Kynureninase (EC 3.7.1.3) (L-kynurenine hydrolase)	Myxococcus xanthus (strain DK 1622)	WP_011551038.1;	CP000113;	ABF87345;
Q1D2Q7	MXAN_4909	murA	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7) (Enoylpyruvate transferase) (UDP-N-acetylglucosamine enolpyruvyl transferase) (EPT)	Myxococcus xanthus (strain DK 1622)	WP_011554890.1;	CP000113;	ABF90980;
Q1D577	MXAN_4016	pfkA	ATP-dependent 6-phosphofructokinase (ATP-PFK) (Phosphofructokinase) (EC 2.7.1.11) (Phosphohexokinase)	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF89567;
Q1D936	MXAN_2618	purA	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	Myxococcus xanthus (strain DK 1622)	WP_011552688.1;	CP000113;	ABF87700;
Q1DCS1	MXAN_1295	pdxH	Pyridoxine/pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5) (PNP/PMP oxidase) (PNPOx) (Pyridoxal 5'-phosphate synthase)	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF87165;
Q1DAZ4	MXAN_1941	serS	Serine--tRNA ligase (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)	Myxococcus xanthus (strain DK 1622)	WP_011552034.1;	CP000113;	ABF86369;
P95331	MXAN_6439	fumC	Fumarate hydratase class II (Fumarase C) (EC 4.2.1.2) (Aerobic fumarase) (Iron-independent fumarase)	Myxococcus xanthus (strain DK 1622)	WP_011556371.1;	AF013216;CP000113;	ABF86177;
Q1D7Y6	MXAN_3028	pyrD	Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2) (DHOdehase) (DHOD) (DHODase) (Dihydroorotate oxidase)	Myxococcus xanthus (strain DK 1622)	WP_011553084.1;	CP000113;	ABF92496;
Q1DCK9	MXAN_1357	proB	Glutamate 5-kinase (EC 2.7.2.11) (Gamma-glutamyl kinase) (GK)	Myxococcus xanthus (strain DK 1622)	WP_011551474.1;	CP000113;	ABF87554;
Q1D320	MXAN_4791	pstB	Phosphate import ATP-binding protein PstB (EC 3.6.3.27) (ABC phosphate transporter) (Phosphate-transporting ATPase)	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF87523;
Q1D739	MXAN_3335	psuG	Pseudouridine-5'-phosphate glycosidase (PsiMP glycosidase) (EC 4.2.1.70)	Myxococcus xanthus (strain DK 1622)	WP_011553370.1;	CP000113;	ABF92641;
Q1D6L9	MXAN_3510	pyrB	Aspartate carbamoyltransferase (EC 2.1.3.2) (Aspartate transcarbamylase) (ATCase)	Myxococcus xanthus (strain DK 1622)	WP_011553540.1;	CP000113;	ABF90384;
Q1D898	MXAN_2914	purH	Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]	Myxococcus xanthus (strain DK 1622)	WP_011552974.1;	CP000113;	ABF88926;
Q1D8V5	MXAN_2701	purM	Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase)	Myxococcus xanthus (strain DK 1622)	WP_011552769.1;	CP000113;	ABF92152;
Q1DF98	MXAN_0404	atpF	ATP synthase subunit b (ATP synthase F(0) sector subunit b) (ATPase subunit I) (F-type ATPase subunit b) (F-ATPase subunit b)	Myxococcus xanthus (strain DK 1622)	WP_020478431.1;	CP000113;	ABF89279;
Q1CX34	MXAN_6925	atpG	ATP synthase gamma chain (ATP synthase F1 sector gamma subunit) (F-ATPase gamma subunit)	Myxococcus xanthus (strain DK 1622)	WP_011556845.1;	CP000113;	ABF87035;
Q1D2S1	MXAN_4895	groL2	60 kDa chaperonin 2 (GroEL protein 2) (Protein Cpn60 2)	Myxococcus xanthus (strain DK 1622)	WP_011554876.1;	CP000113;	ABF91085;
Q1CZL0	MXAN_6028	cheB3	Chemotaxis response regulator protein-glutamate methylesterase 3 (EC 3.1.1.61)	Myxococcus xanthus (strain DK 1622)	WP_011555977.1;	CP000113;	ABF91242;
Q1DCC8	MXAN_1438		CinA-like protein	Myxococcus xanthus (strain DK 1622)	WP_011551554.1;	CP000113;	ABF87889;
Q1D225	MXAN_5145	cheB2	Chemotaxis response regulator protein-glutamate methylesterase 2 (EC 3.1.1.61)	Myxococcus xanthus (strain DK 1622)	WP_011555116.1;	CP000113;	ABF91845;
Q1D568	MXAN_4026	mutL	DNA mismatch repair protein MutL	Myxococcus xanthus (strain DK 1622)	WP_011554035.1;	CP000113;	ABF90814;
Q1CXC6	MXAN_6830	panD	Aspartate 1-decarboxylase (EC 4.1.1.11) (Aspartate alpha-decarboxylase) [Cleaved into: Aspartate 1-decarboxylase beta chain; Aspartate 1-decarboxylase alpha chain]	Myxococcus xanthus (strain DK 1622)	WP_011556755.1;	CP000113;	ABF87899;
Q1D346	MXAN_4765	nrdR	Transcriptional repressor NrdR	Myxococcus xanthus (strain DK 1622)	WP_011554752.1;	CP000113;	ABF89909;
Q1D8T0	MXAN_2726	nuoI	NADH-quinone oxidoreductase subunit I (EC 1.6.5.11) (NADH dehydrogenase I subunit I) (NDH-1 subunit I)	Myxococcus xanthus (strain DK 1622)	WP_011552793.1;	CP000113;	ABF88032;
Q1D339	MXAN_4772	plsX	Phosphate acyltransferase (EC 2.3.1.n2) (Acyl-ACP phosphotransacylase) (Acyl-[acyl-carrier-protein]--phosphate acyltransferase) (Phosphate-acyl-ACP acyltransferase)	Myxococcus xanthus (strain DK 1622)	WP_011554759.1;	CP000113;	ABF87405;
Q1D6W9	MXAN_3407	pcm	Protein-L-isoaspartate O-methyltransferase (EC 2.1.1.77) (L-isoaspartyl protein carboxyl methyltransferase) (Protein L-isoaspartyl methyltransferase) (Protein-beta-aspartate methyltransferase) (PIMT)	Myxococcus xanthus (strain DK 1622)	WP_011553440.1;	CP000113;	ABF91639;
Q1DAM1	MXAN_2073	pnp	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8) (Polynucleotide phosphorylase) (PNPase)	Myxococcus xanthus (strain DK 1622)	WP_011552157.1;	CP000113;	ABF92645;
Q1DCA9	MXAN_1457	plsY	Glycerol-3-phosphate acyltransferase (Acyl-PO4 G3P acyltransferase) (Acyl-phosphate--glycerol-3-phosphate acyltransferase) (G3P acyltransferase) (GPAT) (EC 2.3.1.n3) (Lysophosphatidic acid synthase) (LPA synthase)	Myxococcus xanthus (strain DK 1622)	WP_011551573.1;	CP000113;	ABF89362;
Q59589	MXAN_5783	pilA	Fimbrial protein (Pilin)	Myxococcus xanthus (strain DK 1622)	WP_011555734.1;	L39904;CP000113;	ABF90139;
Q1DAM4	MXAN_2070	rbfA	Ribosome-binding factor A	Myxococcus xanthus (strain DK 1622)	WP_011552154.1;	CP000113;	ABF86397;
Q1D1I1	MXAN_5342	pyrH	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)	Myxococcus xanthus (strain DK 1622)	WP_011555307.1;	CP000113;	ABF91626;
Q1CYI2	MXAN_6417	queC	7-cyano-7-deazaguanine synthase (EC 6.3.4.20) (7-cyano-7-carbaguanine synthase) (PreQ(0) synthase) (Queuosine biosynthesis protein QueC)	Myxococcus xanthus (strain DK 1622)	WP_011556349.1;	CP000113;	ABF87954;
P24220	MXAN_5910	pyrF	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23) (OMP decarboxylase) (OMPDCase) (OMPdecase)	Myxococcus xanthus (strain DK 1622)	WP_011555861.1;	M79324;CP000113;	ABF86406;
Q8VQX6	MXAN_6708	recX	Regulatory protein RecX	Myxococcus xanthus (strain DK 1622)	WP_011556633.1;	AF449411;CP000113;	ABF90164;
Q1DC90	MXAN_1476	rimO	Ribosomal protein S12 methylthiotransferase RimO (S12 MTTase) (S12 methylthiotransferase) (EC 2.8.4.4) (Ribosomal protein S12 (aspartate-C(3))-methylthiotransferase) (Ribosome maturation factor RimO)	Myxococcus xanthus (strain DK 1622)	WP_011551592.1;	CP000113;	ABF89771;
Q1DAM9	MXAN_2065	rimP	Ribosome maturation factor RimP	Myxococcus xanthus (strain DK 1622)	WP_011552149.1;	CP000113;	ABF90125;
Q1DAZ9	MXAN_1930	recR	Recombination protein RecR	Myxococcus xanthus (strain DK 1622)	WP_011552029.1;	CP000113;	ABF87659;
Q1D349	MXAN_4762	ribH	6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)	Myxococcus xanthus (strain DK 1622)	WP_011554749.1;	CP000113;	ABF88946;
Q1D7U5	MXAN_3075	rplJ	50S ribosomal protein L10	Myxococcus xanthus (strain DK 1622)	WP_011553125.1;	CP000113;	ABF91324;
Q1D768	MXAN_3306	rplP	50S ribosomal protein L16	Myxococcus xanthus (strain DK 1622)	WP_002633601.1;	CP000113;	ABF88224;
Q1DFP6	MXAN_0246	recF	DNA replication and repair protein RecF	Myxococcus xanthus (strain DK 1622)	WP_011550391.1;	CP000113;	ABF92338;
Q1D2Q9	MXAN_4907	prfA	Peptide chain release factor 1 (RF-1)	Myxococcus xanthus (strain DK 1622)	WP_011554888.1;	CP000113;	ABF88557;
Q1D7T4	MXAN_3086	recO	DNA repair protein RecO (Recombination protein O)	Myxococcus xanthus (strain DK 1622)	WP_011553136.1;	CP000113;	ABF89675;
Q1DAN9	MXAN_2055	panB	3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11) (Ketopantoate hydroxymethyltransferase) (KPHMT)	Myxococcus xanthus (strain DK 1622)	WP_011552139.1;	CP000113;	ABF85913;
Q1DAN8	MXAN_2056	panC	Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme)	Myxococcus xanthus (strain DK 1622)	WP_011552140.1;	CP000113;	ABF90225;
Q1D6I7	MXAN_3543	ndk	Nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6) (Nucleoside-2-P kinase)	Myxococcus xanthus (strain DK 1622)	WP_011553572.1;	CP000113;	ABF90253;
Q1D5J6	MXAN_3897	mutS	DNA mismatch repair protein MutS	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF91440;
Q1D4R3	MXAN_4185	nadD	Probable nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18) (Deamido-NAD(+) diphosphorylase) (Deamido-NAD(+) pyrophosphorylase) (Nicotinate mononucleotide adenylyltransferase) (NaMN adenylyltransferase)	Myxococcus xanthus (strain DK 1622)	WP_011554188.1;	CP000113;	ABF89573;
Q1D5J5	MXAN_3898	nhaA1	Na(+)/H(+) antiporter NhaA 1 (Sodium/proton antiporter NhaA 1)	Myxococcus xanthus (strain DK 1622)	WP_011553908.1;	CP000113;	ABF92348;
Q1CZI3	MXAN_6055	nhaA2	Na(+)/H(+) antiporter NhaA 2 (Sodium/proton antiporter NhaA 2)	Myxococcus xanthus (strain DK 1622)	WP_011556004.1;	CP000113;	ABF91686;
Q1D0T2	MXAN_5602	murB	UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.3.1.98) (UDP-N-acetylmuramate dehydrogenase)	Myxococcus xanthus (strain DK 1622)	WP_011555556.1;	CP000113;	ABF91276;
Q1D0T1	MXAN_5603	murC	UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8) (UDP-N-acetylmuramoyl-L-alanine synthetase)	Myxococcus xanthus (strain DK 1622)	WP_011555557.1;	CP000113;	ABF88226;
Q1D0S8	MXAN_5606	murD	UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9) (D-glutamic acid-adding enzyme) (UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase)	Myxococcus xanthus (strain DK 1622)	WP_011555560.1;	CP000113;	ABF92624;
Q1D8S2	MXAN_2734	nuoA	NADH-quinone oxidoreductase subunit A (EC 1.6.5.11) (NADH dehydrogenase I subunit A) (NDH-1 subunit A) (NUO1)	Myxococcus xanthus (strain DK 1622)	WP_011552801.1;	CP000113;	ABF91635;
Q1D292	MXAN_5077	pth	Peptidyl-tRNA hydrolase (PTH) (EC 3.1.1.29)	Myxococcus xanthus (strain DK 1622)	WP_011555051.1;	CP000113;	ABF86721;
Q1DD74	MXAN_1139	prmA	Ribosomal protein L11 methyltransferase (L11 Mtase) (EC 2.1.1.-)	Myxococcus xanthus (strain DK 1622)	WP_011551259.1;	CP000113;	ABF91234;
Q1D614	MXAN_3724	psd	Phosphatidylserine decarboxylase proenzyme (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase alpha chain; Phosphatidylserine decarboxylase beta chain]	Myxococcus xanthus (strain DK 1622)	WP_011553740.1;	CP000113;	ABF89096;
Q1D4A0	MXAN_4350	acpS	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	Myxococcus xanthus (strain DK 1622)	WP_011554351.1;	CP000113;	ABF88402;
Q1D0P6	MXAN_5638	acyP	Acylphosphatase (EC 3.6.1.7) (Acylphosphate phosphohydrolase)	Myxococcus xanthus (strain DK 1622)	WP_011555592.1;	CP000113;	ABF86153;
Q1CYD8	MXAN_6462		Putative 3-methyladenine DNA glycosylase (EC 3.2.2.-)	Myxococcus xanthus (strain DK 1622)	WP_011556393.1;	CP000113;	ABF91760;
Q1D779	MXAN_3295	rpsL	30S ribosomal protein S12	Myxococcus xanthus (strain DK 1622)	WP_002637381.1;	CP000113;	ABF87634;
Q1D6I9	MXAN_3541	sucC	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	Myxococcus xanthus (strain DK 1622)	WP_011553570.1;	CP000113;	ABF90607;
Q1D084	MXAN_5802	alaS	Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)	Myxococcus xanthus (strain DK 1622)	WP_011555753.1;	CP000113;	ABF92148;
Q1D6E0	MXAN_3594	pheS	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)	Myxococcus xanthus (strain DK 1622)	WP_011553619.1;	CP000113;	ABF92311;
Q1D295	MXAN_5074	spoVG	Putative septation protein SpoVG	Myxococcus xanthus (strain DK 1622)	WP_002634160.1;	CP000113;	ABF86940;
Q1DAN7	MXAN_2057	smpB	SsrA-binding protein (Small protein B)	Myxococcus xanthus (strain DK 1622)	WP_011552141.1;	CP000113;	ABF92409;
Q1D402	MXAN_4450	surE	5'-nucleotidase SurE (EC 3.1.3.5) (Nucleoside 5'-monophosphate phosphohydrolase)	Myxococcus xanthus (strain DK 1622)	WP_011554449.1;	CP000113;	ABF89105;
Q1D8K2	MXAN_2804	metG	Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)	Myxococcus xanthus (strain DK 1622)	WP_011552871.1;	CP000113;	ABF91901;
Q1D1W9	MXAN_5201	rpsU	30S ribosomal protein S21	Myxococcus xanthus (strain DK 1622)	WP_002614080.1;	CP000113;	ABF90532;
Q1D7R9	MXAN_3101	glyS	Glycine--tRNA ligase beta subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase beta subunit) (GlyRS)	Myxococcus xanthus (strain DK 1622)	WP_011553151.1;	CP000113;	ABF91890;
Q1DA04	MXAN_2298	asnS	Asparagine--tRNA ligase (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS)	Myxococcus xanthus (strain DK 1622)	WP_011552374.1;	CP000113;	ABF90916;
Q1CXV1	MXAN_6655	proS	Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS)	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF87420;
Q1CVR6	MXAN_7400	kynA	Tryptophan 2,3-dioxygenase (TDO) (EC 1.13.11.11) (Tryptamin 2,3-dioxygenase) (Tryptophan oxygenase) (TO) (TRPO) (Tryptophan pyrrolase) (Tryptophanase)	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF86173;
Q1D8Y1	MXAN_2675	gltX	Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS)	Myxococcus xanthus (strain DK 1622)	WP_011552743.1;	CP000113;	ABF89409;
Q1D1I2	MXAN_5341	frr	Ribosome-recycling factor (RRF) (Ribosome-releasing factor)	Myxococcus xanthus (strain DK 1622)	WP_011555306.1;	CP000113;	ABF90662;
Q1D750	MXAN_3324	rpsK	30S ribosomal protein S11	Myxococcus xanthus (strain DK 1622)	WP_011553359.1;	CP000113;	ABF88755;
Q1D6I5	MXAN_3545	rpsP	30S ribosomal protein S16	Myxococcus xanthus (strain DK 1622)	WP_011553574.1;	CP000113;	ABF88726;
Q1D290	MXAN_5079	rpsR	30S ribosomal protein S18	Myxococcus xanthus (strain DK 1622)	WP_011555053.1;	CP000113;	ABF90687;
Q1D760	MXAN_3314	rplF	50S ribosomal protein L6	Myxococcus xanthus (strain DK 1622)	WP_011553350.1;	CP000113;	ABF89255;
Q1D841	MXAN_2973	rlmE	Ribosomal RNA large subunit methyltransferase E (EC 2.1.1.166) (23S rRNA Um2552 methyltransferase) (rRNA (uridine-2'-O-)-methyltransferase)	Myxococcus xanthus (strain DK 1622)	WP_011553029.1;	CP000113;	ABF86514;
Q1D775	MXAN_3299	rpsJ	30S ribosomal protein S10	Myxococcus xanthus (strain DK 1622)	WP_002633608.1;	CP000113;	ABF92361;
Q1D766	MXAN_3308	rpsQ	30S ribosomal protein S17	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF90741;
Q1CVH7	MXAN_7493	rsmG	Ribosomal RNA small subunit methyltransferase G (EC 2.1.1.170) (16S rRNA 7-methylguanosine methyltransferase) (16S rRNA m7G methyltransferase)	Myxococcus xanthus (strain DK 1622)	WP_011557395.1;	CP000113;	ABF88142;
Q1D2S6	MXAN_4890	rpoZ	DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega)	Myxococcus xanthus (strain DK 1622)	WP_011554872.1;	CP000113;	ABF87187;
Q1DAM2	MXAN_2072	rpsO	30S ribosomal protein S15	Myxococcus xanthus (strain DK 1622)	WP_011552156.1;	CP000113;	ABF91487;
Q1D762	MXAN_3312	rpsZ	30S ribosomal protein S14 type Z	Myxococcus xanthus (strain DK 1622)	WP_011553348.1;	CP000113;	ABF87653;
Q1D749	MXAN_3325	rpsD1	30S ribosomal protein S4 A	Myxococcus xanthus (strain DK 1622)	WP_011553360.1;	CP000113;	ABF87729;
Q1D758	MXAN_3316	rpsE	30S ribosomal protein S5	Myxococcus xanthus (strain DK 1622)	WP_011553352.1;	CP000113;	ABF89987;
Q1DEJ2	MXAN_0663	rnz	Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z)	Myxococcus xanthus (strain DK 1622)	WP_011550794.1;	CP000113;	ABF88454;
Q1DAT6	MXAN_2002	selD	Selenide, water dikinase (EC 2.7.9.3) (Selenium donor protein) (Selenophosphate synthase)	Myxococcus xanthus (strain DK 1622)	WP_011552092.1;	CP000113;	ABF87090;
Q1D0S2	MXAN_5612	rsmH	Ribosomal RNA small subunit methyltransferase H (EC 2.1.1.199) (16S rRNA m(4)C1402 methyltransferase) (rRNA (cytosine-N(4)-)-methyltransferase RsmH)	Myxococcus xanthus (strain DK 1622)	WP_011555566.1;	CP000113;	ABF86325;
Q1D2L9	MXAN_4948	serC	Phosphoserine aminotransferase (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase) (PSAT)	Myxococcus xanthus (strain DK 1622)	WP_011554926.1;	CP000113;	ABF86412;
Q1D2J8	MXAN_4969	ruvB	Holliday junction ATP-dependent DNA helicase RuvB (EC 3.6.4.12)	Myxococcus xanthus (strain DK 1622)	WP_011554947.1;	CP000113;	ABF87481;
Q1D765	MXAN_3309	rplN	50S ribosomal protein L14	Myxococcus xanthus (strain DK 1622)	WP_002633598.1;	CP000113;	ABF91701;
Q1DC97	MXAN_1469	rplU	50S ribosomal protein L21	Myxococcus xanthus (strain DK 1622)	WP_026113820.1;	CP000113;	ABF86284;
Q1DC96	MXAN_1470	rpmA	50S ribosomal protein L27	Myxococcus xanthus (strain DK 1622)	WP_011551586.1;	CP000113;	ABF87598;
Q1D6E2	MXAN_3592	rpmI	50S ribosomal protein L35	Myxococcus xanthus (strain DK 1622)	WP_011553617.1;	CP000113;	ABF90705;
Q1D752	MXAN_3322	rpmJ	50S ribosomal protein L36	Myxococcus xanthus (strain DK 1622)	WP_011553357.1;	CP000113;	ABF89622;
Q1D774	MXAN_3300	rplD	50S ribosomal protein L4	Myxococcus xanthus (strain DK 1622)	WP_002633607.1;	CP000113;	ABF90616;
Q1D7U4	MXAN_3076	rplL	50S ribosomal protein L7/L12	Myxococcus xanthus (strain DK 1622)	WP_011553126.1;	CP000113;	ABF91863;
Q1D757	MXAN_3317	rpmD	50S ribosomal protein L30	Myxococcus xanthus (strain DK 1622)	WP_011553353.1;	CP000113;	ABF87599;
Q1CY77	MXAN_6523	rpmG2	50S ribosomal protein L33 2	Myxococcus xanthus (strain DK 1622)	WP_011556454.1;	CP000113;	ABF86627;
Q1CVF8	MXAN_7512	rpmH	50S ribosomal protein L34	Myxococcus xanthus (strain DK 1622)	WP_002637840.1;	CP000113;	ABF86684;
Q1D706	MXAN_3370	rplC	50S ribosomal protein L3	Myxococcus xanthus (strain DK 1622)	WP_011553403.1;	CP000113;	ABF86371;
