muridarum	pneumoniae	trachomatis_434	trachomatis_duw
['TC_RS00135']	['CPnt27']	['CTL_t03']	['CT_t26']
['TC_RS01910']	['CPn0137']	['CTL0363']	['CT_108']
['TC_RS04155']	['CPn0650']	['CTL0793']	['CT_531']
['TC_RS03475']	['CPn0532']	['CTL0662']	['CT_405']
['TC_RS01135']	['CPn0994']	['CTL0209']	['CT_837']
['TC_RS04210']	['CPn0661']	['CTL0803']	['CT_541']
['TC_RS00590']	['CPnt32']	['CTL_t13']	['CT_t32']
['TC_RS03865']	['CPn0594']	['CTL0736']	['CT_475']
['TC_RS04510']	['CPn0781']	['CTL0863']	['CT_600']
['TC_RS04140']	['CPn0647']	['CTL0790']	['CT_528']
['TC_RS04645']	['CPn0730']	['CTL0888']	['CT_624']
['TC_RS02480']	['CPn0265']	['CTL0471']	['CT_219']
['TC_RS00345']	['CPn0679']	['CTL0062']	['CT_693']
['TC_RS04375']	['CPn0814']	['CTL0836']	['CT_573']
['TC_RS01515']	['CPn0122']	['CTL0287']	['CT_032']
['TC_RS03405']	['CPn0496']	['CTL0647']	['CT_391']
['TC_RS00085']	['CPn0457']	['CTL0015', 'CTL0055']	['CT_647', 'CT_686']
['TC_RS00010']	['CPn0743']	['CTL0002']	['CT_634']
['TC_RS01460']	['CPn0111']	['CTL0276']	['CT_021']
['TC_RS03640']	['CPn0549']	['CTL0695']	['CT_436']
['TC_RS03985']	['CPn0617']	['CTL0760']	['CT_498']
['TC_RS03450']	['CPn0527']	['CTL0657']	['CT_400']
['TC_RS02875']	['CPn0056']	['CTL0547']	['CT_295']
['TC_RS02270']	['CPn0234']	['CTL0433']	['CT_181']
['TC_RS02200']	['CPn0170']	[]	[]
['TC_RS04440']	['CPn0801']	['CTL0849']	['CT_586']
['TC_RS00825']	['CPn0922']	['CTL0145']	['CT_776']
['TC_RS04220']	['CPn0663']	['CTL0805']	['CT_543']
['TC_RS04505']	['CPn0782']	['CTL0862']	['CT_599']
['TC_RS04000']	['CPn0620']	['CTL0763']	['CT_501']
['TC_RS01630']	['CPn0378']	['CTL0310']	['CT_054']
['TC_RS01700']	['CPn0350']	['CTL0322']	['CT_066']
['TC_RS00055']	['CPn0770']	['CTL0010']	['CT_642']
['TC_RS04840']	['CPn0825']	['CTL0825']	['CT_562']
['TC_RS02650']	['CPn0310']	['CTL0503']	['CT_251']
['TC_RS03575']	['CPn0510']	['CTL0682']	['CT_423']
['TC_RS02735']	['CPn0417']	['CTL0520']	['CT_268']
['TC_RS03000']	['CPn0077']	['CTL0571']	['CT_319']
['TC_RS03725']	['CPn0567']	['CTL0711']	['CT_451']
['TC_RS03560']	['CPnt16']	['CTL_t24']	['CT_t16']
['TC_RS02815']	['CPn0434']	['CTL0535']	['CT_283']
['TC_RS02565']	['CPn0293']	['CTL0486']	['CT_234']
['TC_RS03755']	['CPn0573']	['CTL0717']	['CT_457']
['TC_RS00920']	['CPn0947']	['CTL0166']	['CT_797']
['TC_RS03105']	['CPn0039']	['CTL0589']	['CT_335']
['TC_RS02380']	['CPn0206']	['CTL0455']	['CT_203']
['TC_RS00765']	['CPn0126', 'CPn0375']	['CTL0133']	['CT_764']
['TC_RS03440']	['CPn0525']	['CTL0655']	['CT_398']
['TC_RS03870']	['CPn0595']	['CTL0737']	['CT_476']
['TC_RS02810']	['CPn0433']	['CTL0534']	['CT_282']
['TC_RS04045']	['CPn0628']	['CTL0771']	['CT_509']
['TC_RS01985']	['CPn0183']	['CTL0378']	['CT_123']
['TC_RS03835']	['CPn0590']	['CTL0731']	['CT_471']
['TC_RS02440']	['CPn0141']	['CTL0465']	['CT_213']
['TC_RS00525']	['CPn0868']	['CTL0096']	['CT_727']
['TC_RS03925']	['CPn0605']	['CTL0748']	['CT_487']
['TC_RS03495']	['CPn0536']	['CTL0666']	['CT_409']
['TC_RS01250']	['CPn1016']	['CTL0233']	['CT_858']
['TC_RS04490']	['CPn0785']	['CTL0860']	['CT_596']
['TC_RS01715']	['CPn0348']	['CTL0324']	['CT_068']
['TC_RS01165']	['CPn1000']	['CTL0215']	['CT_843']
['TC_RS04525']	['CPn0778']	['CTL0866']	['CT_603']
['TC_RS03735']	['CPn0569']	['CTL0713']	['CT_453']
['TC_RS03880']	['CPn0597']	['CTL0739']	['CT_478']
['TC_RS03710']	['CPn0564']	['CTL0708a']	['CT_448']
['TC_RS02265']	['CPnt08']	['CTL_t02']	['CT_t06']
['TC_RS03020']	['CPn0074']	['CTL0574']	['CT_322']
['TC_RS01060']	['CPn0979']	['CTL0195']	['CT_823']
['TC_RS02790']	['CPn0427']	['CTL0530']	['CT_278']
['TC_RS02805']	['CPn0430']	['CTL0533']	['CT_281']
['TC_RS02580']	['CPn0296']	['CTL0489']	['CT_237']
['TC_RS04470']	['CPn0789']	['CTL0855']	['CT_592']
['TC_RS02005']	['CPn0245']	['CTL0382']	['CT_127']
['TC_RS03955']	['CPn0612']	['CTL0754']	['CT_493']
['TC_RS01420']	['CPn0102']	['CTL0268']	['CT_013']
['TC_RS00235']	['CPnt26']	['CTL_t31']	['CT_t27']
['TC_RS03425']	['CPn0502']	['CTL0651']	['CT_395']
['TC_RS00015']	['CPn0742']	['CTL0003']	['CT_635']
['TC_RS03850']	['CPn0591']	['CTL0733']	['CT_472']
['TC_RS00810']	['CPn0919']	['CTL0142']	['CT_773']
['TC_RS01455']	['CPn0110']	['CTL0275']	['CT_020']
['TC_RS02145']	['CPn0248']	['CTL0407']	['CT_152']
['TC_RS00860']	['CPn0933']	['CTL0152']	['CT_783']
['TC_RS03215']	['CPn1057']	['CTL0610']	['CT_356']
['TC_RS02060']	['CPn0269']	['CTL0393']	['CT_138']
['TC_RS00955']	['CPn0953']	['CTL0172']	['CT_803']
['TC_RS02965']	['CPn0084']	['CTL0564']	['CT_312']
['TC_RS02775']	['CPn0424']	['CTL0527']	['CT_275']
['TC_RS02870']	['CPn0057']	['CTL0546']	['CT_294']
['TC_RS01155']	['CPn0998']	['CTL0213']	['CT_841']
['TC_RS04585']	['CPn0758']	['CTL0877']	['CT_613']
['TC_RS01425']	['CPn0103']	['CTL0269']	['CT_014']
['TC_RS03605']	['CPn0518']	['CTL0688']	['CT_429']
['TC_RS00105']	['CPn0751']	['CTL0019']	['CT_651']
['TC_RS02355']	['CPn0195']	['CTL0450']	['CT_198']
['TC_RS01170']	['CPn1001']	['CTL0216']	['CT_844']
['TC_RS00835']	['CPn0924']	['CTL0147']	['CT_778']
['TC_RS01655']	['CPn0364']	['CTL0315']	['CT_059']
['TC_RS03810']	['CPn0584']	['CTL0727']	['CT_467']
['TC_RS02415']	['CPn0154']	['CTL0460']	['CT_208']
['TC_RS04610']	['CPn0754']	['CTL0881']	['CT_617']
['TC_RS04455']	['CPn0792']	['CTL0852']	['CT_589']
['TC_RS04780']	['CPns01']	[]	['CT_s01']
['TC_RS01125']	['CPn0993']	['CTL0208']	['CT_836']
['TC_RS04365']	['CPn0816']	['CTL0834']	['CT_571']
['TC_RS03455']	['CPn0528']	['CTL0658']	['CT_401']
['TC_RS04115']	['CPn0642']	['CTL0785']	['CT_523']
['TC_RS00285']	['CPn0695']	['CTL0050']	['CT_681']
['TC_RS04495']	['CPn0784']	['CTL0861']	['CT_597']
['TC_RS03745']	['CPn0571']	['CTL0715']	['CT_455']
['TC_RS04765']	['CPn0961']	['CTL0181']	['CT_810']
['TC_RS00510']	['CPn0459']	['CTL0093', 'CTL0431']	['CT_724', 'CT_179']
['TC_RS03695']	['CPn0560']	['CTL0705']	['CT_445']
['TC_RS00320']	['CPn0684']	['CTL0057']	['CT_688']
['TC_RS01375']	['CPn0004']	['CTL0259']	['CT_004']
['TC_RS00260']	['CPn0699']	['CTL0046']	['CT_677']
['TC_RS02975']	['CPn0082']	['CTL0566']	['CT_314']
['TC_RS01800']	['CPn0327']	['CTL0341']	['CT_086']
['TC_RS00205']	['CPn0707']	['CTL0038']	['CT_669']
['TC_RS04355']	['CPn0818']	['CTL0832']	['CT_569']
['TC_RS02885']	['CPn0054']	['CTL0549']	['CT_297']
['TC_RS04125']	['CPn0644']	['CTL0787']	['CT_525']
['TC_RS01885']	['CPn0407']	['CTL0358']	['CT_103']
['TC_RS00305']	['CPn0691']	['CTL0054']	['CT_685']
['TC_RS04105']	['CPn0640']	['CTL0783']	['CT_521']
['TC_RS00265']	['CPn0698']	['CTL0047']	['CT_678']
['TC_RS00890']	['CPn0940']	['CTL0159']	['CT_791']
['TC_RS01665']	['CPn0363']	['CTL0316']	['CT_060']
['TC_RS02360']	['CPn0199']	['CTL0451']	['CT_199']
['TC_RS01765']	['CPn0335']	['CTL0334']	['CT_078']
['TC_RS04690']	['CPn0746']	['CTL0897']	['CT_632']
['TC_RS01430']	['CPn0106']	['CTL0270']	['CT_015']
['TC_RS04050']	['CPn0629']	['CTL0772']	['CT_510']
['TC_RS04190']	['CPn0658']	['CTL0800']	['CT_538']
['TC_RS00665']	['CPn0892']	['CTL0118']	['CT_749']
['TC_RS00930']	['CPnt34']	['CTL_t09']	['CT_t34']
['TC_RS00240']	['CPn0701']	['CTL0044']	['CT_675']
['TC_RS01990']	['CPn0182']	['CTL0379']	['CT_124']
['TC_RS03595']	['CPn0514']	['CTL0686']	['CT_427']
['TC_RS01080']	['CPn0984']	['CTL0199']	['CT_827']
['TC_RS03430']	['CPn0503']	['CTL0652']	['CT_396']
['TC_RS03220']	['CPnt38']	['CTL_t28']	['CT_t14']
['TC_RS00675', 'TC_RS00600']	['CPnr01']	['CTL_r01', 'CTL_r02']	['CT_r04', 'CT_r01']
['TC_RS03335']	['CPn0478']	['CTL0634']	['CT_379']
['TC_RS00425']	['CPnt31']	['CTL_t12']	['CT_t31']
['TC_RS00180']	['CPn0712']	['CTL0033']	['CT_664']
['TC_RS00660']	['CPn0891']	['CTL0117']	['CT_748']
['TC_RS03550']	['CPn0545']	['CTL0676']	['CT_419']
['TC_RS02245']	['CPn0229']	['CTL0430']	['CT_178']
['TC_RS02860']	['CPn0059']	['CTL0544']	['CT_292']
['TC_RS02015']	['CPn0192']	['CTL0384']	['CT_129']
['TC_RS04300']	['CPn0832']	['CTL0821']	['CT_558']
['TC_RS00685', 'TC_RS00610']	['CPnr03']	['CTL_r06', 'CTL_r05']	['CT_r06', 'CT_r03']
['TC_RS01675']	['CPn0361']	['CTL0318']	['CT_062']
['TC_RS03765']	['CPn0575a']	['CTL0719']	['CT_459']
['TC_RS00790']	['CPn0915']	['CTL0138']	['CT_769']
['TC_RS01755']	['CPn0337']	['CTL0332']	['CT_076']
['TC_RS01820']	['CPn0323']	['CTL0345']	['CT_090']
['TC_RS03095']	['CPn0096']	['CTL0587']	['CT_333']
['TC_RS02235']	['CPn0227']	['CTL0428']	['CT_176']
['TC_RS04265']	['CPn0672']	['CTL0813']	['CT_551']
['TC_RS00725']	['CPn0899']	['CTL0125']	['CT_756']
['TC_RS01140']	['CPn0995']	['CTL0210']	['CT_838']
['TC_RS02645']	['CPn0309']	['CTL0501']	['CT_250']
['TC_RS03075']	['CPn1060a']	['CTL0583A']	[]
['TC_RS01030']	['CPn0970', 'CPn0969']	['CTL0189']	['CT_817']
['TC_RS00390']	['CPn0841']	['CTL0070']	['CT_701']
['TC_RS03730']	['CPn0568']	['CTL0712']	['CT_452']
['TC_RS01085']	['CPn0985']	['CTL0200']	['CT_828']
['TC_RS03250']	['CPn1049']	['CTL0616']	['CT_362']
['TC_RS01680']	['CPn0360']	['CTL0319']	['CT_063']
['TC_RS03540']	['CPn0543']	['CTL0674']	['CT_417']
['TC_RS04180']	['CPn0655']	['CTL0798']	['CT_536']
['TC_RS04055']	['CPn0630']	['CTL0773']	['CT_511']
['TC_RS01300']	['CPn0475']	['CTL0245']	['CT_866']
['TC_RS02990']	['CPn0079']	['CTL0569']	['CT_317']
['TC_RS02205']	['CPn0171']	[]	[]
['TC_RS04530']	['CPnt30']	['CTL_t05']	['CT_t23']
['TC_RS04240']	['CPn0667']	['CTL0808']	['CT_546']
['TC_RS00645']	['CPn0888']	['CTL0114']	['CT_745']
['TC_RS02675']	['CPn0394']	['CTL0508']	['CT_256']
['TC_RS04580']	['CPn0759']	['CTL0876']	['CT_612']
['TC_RS00985']	['CPn0959']	['CTL0177']	['CT_808']
['TC_RS04560']	['CPn0772']	['CTL0872']	['CT_608']
['TC_RS00250']	['CPnt25']	['CTL_t20']	['CT_t28']
['TC_RS02595']	['CPn0299']	['CTL0492']	['CT_240']
['TC_RS00130']	['CPn0721']	['CTL0024']	['CT_655']
['TC_RS02655']	['CPn0458']	['CTL0504']	['CT_252']
['TC_RS03815']	['CPn0586']	['CTL0728']	['CT_468']
['TC_RS03100']	['CPn0040']	['CTL0588']	['CT_334']
['TC_RS02035']	['CPn0187', 'CPn0072']	['CTL0388']	['CT_133']
['TC_RS04360']	['CPn0817']	['CTL0833']	['CT_570']
['TC_RS00120']	['CPn0723']	['CTL0022']	['CT_653']
['TC_RS03390']	['CPn0497']	['CTL0644']	['CT_388']
['TC_RS01025']	['CPn0968']	['CTL0188']	['CT_816']
['TC_RS00850']	['CPn0931']	['CTL0150']	['CT_781']
['TC_RS03970']	['CPn0615']	['CTL0757']	['CT_496']
['TC_RS02365']	['CPn0200']	['CTL0452']	['CT_200']
['TC_RS01335']	['CPn0014']	['CTL0250']	['CT_871']
['TC_RS03270']	['CPn1039']	['CTL0620']	['CT_366']
['TC_RS04670']	['CPn0749']	['CTL0893']	[]
['TC_RS04775']	['CPn0986']	['CTL0201']	['CT_829']
['TC_RS04540']	['CPn0776']	['CTL0868']	['CT_605']
['TC_RS04175']	['CPn0654']	['CTL0797']	['CT_535']
['TC_RS04025']	['CPn0624']	['CTL0767']	['CT_505']
['TC_RS01465']	['CPn0112']	['CTL0277']	['CT_022']
['TC_RS01935']	['CPn0144']	['CTL0368']	['CT_113']
['TC_RS03350']	['CPn0484']	['CTL0637']	['CT_382']
['TC_RS00185']	['CPn0711']	['CTL0034']	['CT_665']
['TC_RS03950']	['CPn0611']	['CTL0753']	['CT_492']
['TC_RS02295']	['CPn0239']	['CTL0438']	['CT_186']
['TC_RS04100']	['CPn0639']	['CTL0782']	['CT_520']
['TC_RS00155']	['CPn0720']	['CTL0028']	['CT_659']
['TC_RS03370']	['CPn0488']	['CTL0641']	['CT_385']
['TC_RS04260']	['CPn0671']	['CTL0812']	['CT_550']
['TC_RS04435']	['CPn0802']	['CTL0848']	['CT_585']
['TC_RS00620']	['CPn0883']	['CTL0109']	['CT_740']
['TC_RS03375']	['CPn0489']	['CTL0642']	['CT_386']
['TC_RS03650']	['CPn0551']	['CTL0697']	['CT_438']
['TC_RS01470']	['CPn0113']	['CTL0278']	['CT_023']
['TC_RS04385']	['CPn0812']	['CTL0838']	['CT_575']
['TC_RS00970']	['CPn0956']	['CTL0174']	['CT_805']
['TC_RS04430']	['CPn0803']	['CTL0847']	['CT_584']
['TC_RS02620']	['CPn0304']	['CTL0497']	['CT_245']
['TC_RS02725']	['CPn0415']	['CTL0518']	['CT_266']
['TC_RS03255']	['CPn1048']	['CTL0617']	['CT_363']
['TC_RS03315']	['CPn1030']	['CTL0629']	['CT_375']
['TC_RS01855']	['CPn0316']	['CTL0352']	['CT_097']
['TC_RS02550']	['CPn0290']	['CTL0483']	['CT_231']
['TC_RS00310']	['CPn0690']	['CTL0055', 'CTL0226']	['CT_686', 'CT_853']
['TC_RS03090']	['CPn0097']	['CTL0586']	['CT_332']
['TC_RS00325']	['CPn0683']	['CTL0058']	['CT_689']
['TC_RS03480']	['CPn0533']	['CTL0663']	['CT_406']
['TC_RS03860']	['CPn0593', 'CPn0159']	['CTL0735']	['CT_474']
['TC_RS02940']	['CPn0089']	['CTL0559']	['CT_307']
['TC_RS02375']	['CPn0202']	['CTL0454']	['CT_202']
['TC_RS04085']	['CPn0636']	['CTL0779']	['CT_517']
['TC_RS02930']	['CPn0091']	['CTL0557']	['CT_305']
['TC_RS02335']	['CPn0286']	['CTL0446']	['CT_194']
['TC_RS02350']	['CPn0194']	['CTL0449']	['CT_197']
['TC_RS03435']	['CPn0504']	['CTL0654']	['CT_397']
['TC_RS00690']	['CPn0893']	['CTL0119']	['CT_750']
['TC_RS02795']	['CPn0428']	['CTL0531']	['CT_279']
['TC_RS02685']	['CPn0396']	['CTL0510']	['CT_258']
['TC_RS00885']	['CPn0939']	['CTL0158']	['CT_790']
['TC_RS00200']	['CPn0708']	['CTL0037']	['CT_668']
['TC_RS01710']	['CPn0349']	['CTL0323']	['CT_067']
['TC_RS03345']	['CPn0482']	['CTL0636']	['CT_381']
['TC_RS03115']	['CPn0037']	['CTL0591']	['CT_337']
['TC_RS04225']	['CPn0665']	['CTL0806']	['CT_544']
['TC_RS00405']	['CPn0845']	['CTL0073']	['CT_704']
['TC_RS03785']	['CPn0580']	['CTL0723']	['CT_463']
['TC_RS00385']	['CPn0840']	['CTL0069']	['CT_700']
['TC_RS02730']	['CPn0416']	['CTL0519']	['CT_267']
['TC_RS02435']	['CPn0140']	['CTL0464']	['CT_212']
['TC_RS04620']	['CPn0727']	['CTL0883']	['CT_619']
['TC_RS02120']	['CPn0151']	['CTL0403']	['CT_148']
['TC_RS01525']	['CPn0127']	['CTL0289']	['CT_034']
['TC_RS03050']	['CPnt01']	['CTL_t21']	['CT_t13']
['TC_RS00915']	['CPn0946']	['CTL0165']	['CT_796']
['TC_RS00515']	['CPn0866']	['CTL0094']	['CT_725']
['TC_RS04230']	['CPn0666']	['CTL0807']	['CT_545']
['TC_RS02240']	['CPn0228']	['CTL0429']	['CT_177']
['TC_RS00330']	['CPn0682']	['CTL0059']	['CT_690']
['TC_RS00160']	['CPn0716']	['CTL0029']	['CT_660']
['TC_RS01585']	['CPn0384']	['CTL0302']	['CT_046']
['TC_RS02760']	['CPn0421']	['CTL0524']	['CT_272']
['TC_RS01275']	['CPn1022']	['CTL0238']	['CT_863']
['TC_RS00945']	['CPn0951']	['CTL0170']	['CT_801']
['TC_RS02425']	['CPn0138']	['CTL0462']	['CT_210']
['TC_RS00340']	['CPn0680']	['CTL0061']	['CT_692']
['TC_RS03195']	['CPn1066']	['CTL0606']	['CT_352']
['TC_RS02420']	['CPn0153']	['CTL0461']	['CT_209']
['TC_RS00440']	['CPn0851']	['CTL0079']	['CT_710']
['TC_RS02840']	['CPn0288']	['CTL0540', 'CTL0447']	['CT_288', 'CT_195']
['TC_RS03570']	['CPn0509']	['CTL0681']	['CT_422']
['TC_RS03750']	['CPn1071', 'CPn0572']	['CTL0716']	['CT_456']
['TC_RS04675']	['CPn0750']	['CTL0894']	['CT_630']
['TC_RS01725']	['CPn0346']	['CTL0326']	['CT_070']
['TC_RS01040']	['CPn0971']	['CTL0191']	['CT_819']
['TC_RS02750']	['CPn0419']	['CTL0522']	['CT_270']
['TC_RS01360']	['CPn0001']	['CTL0256']	['CT_001']
['TC_RS03070']	['CPn1062']	['CTL0583']	['CT_329']
['TC_RS02050']	['CPn0271']	['CTL0391']	['CT_136']
['TC_RS02070']	['CPn0217']	['CTL0395']	['CT_140']
['TC_RS01540']	['CPnt04']	['CTL_t06']	['CT_t01']
['TC_RS00020']	['CPn0741']	['CTL0004']	['CT_636']
['TC_RS02030']	['CPn0188']	['CTL0387']	['CT_132']
['TC_RS04065']	['CPn0632']	['CTL0775']	['CT_513']
['TC_RS01245']	['CPn1015']	['CTL0232']	['CT_857']
['TC_RS04015']	['CPnt21']	['CTL_t19']	['CT_t21']
['TC_RS02985']	['CPn0080']	['CTL0568']	['CT_316']
['TC_RS02290']	['CPn0238']	['CTL0437']	['CT_185']
['TC_RS00150']	['CPn0719']	['CTL0027']	['CT_658']
['TC_RS02210']	['CPn0172']	[]	[]
['TC_RS02690']	['CPn0397']	['CTL0511']	['CT_259']
['TC_RS01210']	['CPn1009']	['CTL0224']	['CT_851']
['TC_RS02835']	['CPn0438']	['CTL0539']	['CT_287']
['TC_RS04315']	['CPn0826']	['CTL0824']	['CT_561']
['TC_RS01940']	['CPn0145']	['CTL0369']	['CT_114']
['TC_RS00730']	['CPn0900']	['CTL0126']	['CT_757']
['TC_RS00100']	['CPn0762']	['CTL0018']	['CT_650']
['TC_RS01150']	['CPn0997']	['CTL0212']	['CT_840']
['TC_RS02495']	['CPnt12']	['CTL_t07']	['CT_t09']
['TC_RS03125']	['CPn0036']	['CTL0592a', 'CTL0592']	['CT_338']
['TC_RS04290']	['CPn0834']	['CTL0819']	['CT_556']
['TC_RS00415']	['CPn0847']	['CTL0075']	['CT_706']
['TC_RS00170']	['CPn0714']	['CTL0031']	['CT_662']
['TC_RS01340']	['CPn0454', 'CPn0444']	['CTL0251']	['CT_872']
['TC_RS01205']	['CPn1008']	['CTL0223']	['CT_850']
['TC_RS02000']	['CPn0246']	['CTL0381']	['CT_126']
['TC_RS02465']	['CPn0261']	['CTL0469']	['CT_217']
['TC_RS01640']	['CPn0374']	['CTL0312']	['CT_056']
['TC_RS02025']	['CPn0189']	['CTL0386']	['CT_131']
['TC_RS03065']	['CPn1063']	['CTL0582']	['CT_328']
['TC_RS00635']	['CPn0886']	['CTL0112']	['CT_743']
['TC_RS01020']	['CPn0967']	['CTL0187']	['CT_815']
['TC_RS03010']	['CPn0075']	['CTL0573']	['CT_321']
['TC_RS04485']	['CPn0786']	['CTL0859']	['CT_595']
['TC_RS00750']	['CPn0904']	['CTL0130']	['CT_761']
['TC_RS01100']	['CPn0988']	['CTL0203']	['CT_831']
['TC_RS01120']	['CPn0992']	['CTL0207']	['CT_835']
['TC_RS00740']	['CPn0902']	['CTL0128']	['CT_759']
['TC_RS04475']	['CPn0788']	['CTL0856']	['CT_593']
['TC_RS02310']	['CPn0274']	['CTL0441']	['CT_189']
['TC_RS01645']	['CPn0373']	['CTL0313']	['CT_057']
['TC_RS02400']	['CPn0160']	['CTL0459']	['CT_207']
['TC_RS04130']	['CPn0645']	['CTL0788']	['CT_526']
['TC_RS01050']	['CPn0973']	['CTL0193']	['CT_821']
['TC_RS00870']	['CPn0936']	['CTL0154']	['CT_786']
['TC_RS01225']	['CPn1012']	['CTL0227']	['CT_854']
['TC_RS01400']	['CPn1069']	['CTL0264']	['CT_009']
['TC_RS04120']	['CPn0643']	['CTL0786']	['CT_524']
['TC_RS00460']	['CPn0855']	['CTL0083']	['CT_714']
['TC_RS01785']	['CPn0330']	['CTL0338A']	['CT_083']
['TC_RS02890']	['CPn0053']	['CTL0550']	['CT_298']
['TC_RS04150']	['CPn0649']	['CTL0792']	['CT_530']
['TC_RS03565']	['CPn0506']	['CTL0678']	['CT_421']
['TC_RS00710']	['CPn0897']	['CTL0123']	['CT_754']
['TC_RS03655']	['CPn0552']	['CTL0698']	['CT_439']
['TC_RS01405']	['CPn0098']	['CTL0265']	['CT_010']
['TC_RS02800']	['CPn0429']	['CTL0532']	['CT_280']
['TC_RS03305']	['CPn1032']	['CTL0627']	['CT_373']
['TC_RS02020']	['CPn0191', 'CPn0280']	['CTL0385']	['CT_130']
['TC_RS04600']	['CPn0755']	['CTL0880']	['CT_616']
['TC_RS03535']	['CPn0542']	['CTL0673']	['CT_416']
['TC_RS03170']	['CPn0024']	['CTL0601']	['CT_347']
['TC_RS00785']	['CPn0912']	['CTL0137']	['CT_768']
['TC_RS03485']	['CPn0534']	['CTL0664']	['CT_407']
['TC_RS00435']	['CPn0850']	['CTL0078']	['CT_709']
['TC_RS00475']	['CPn0858']	['CTL0086']	['CT_717']
['TC_RS02770']	['CPn0423']	['CTL0526']	['CT_274']
['TC_RS00195']	['CPn0709']	['CTL0036']	['CT_667']
['TC_RS04330']	['CPn0823']	['CTL0827']	['CT_564']
['TC_RS04655']	['CPn0733']	['CTL0890']	['CT_626']
['TC_RS01550']	['CPn0392']	['CTL0294']	['CT_039']
['TC_RS02315']	['CPn0275']	['CTL0442']	['CT_190']
['TC_RS03895']	['CPn0688']	['CTL0742']	['CT_481']
['TC_RS04195']	['CPnt22']	['CTL_t17']	['CT_t22']
['TC_RS00175']	['CPn0713']	['CTL0032']	['CT_663']
['TC_RS00275']	['CPn0696']	['CTL0049']	['CT_680']
['TC_RS04595']	['CPn0756']	['CTL0879']	['CT_615']
['TC_RS03935']	['CPn0607']	['CTL0750']	['CT_489']
['TC_RS01180']	['CPn1003']	['CTL0218']	['CT_846']
['TC_RS01160']	['CPn0999']	['CTL0214']	['CT_842']
['TC_RS04565']	['CPn0771']	['CTL0873']	['CT_609']
['TC_RS00465']	['CPn0856']	['CTL0084']	['CT_715']
['TC_RS03910']	['CPn0602']	['CTL0745']	['CT_484']
['TC_RS02600']	['CPn0300']	['CTL0493']	['CT_241']
['TC_RS00535']	['CPn0870']	['CTL0098']	['CT_729']
['TC_RS04640']	['CPn0729']	['CTL0887']	['CT_623']
['TC_RS02780']	['CPn0425']	['CTL0528']	['CT_276']
['TC_RS02430']	['CPn0139']	['CTL0463']	['CT_211']
['TC_RS01295']	['CPn0476']	['CTL0244']	['CT_865']
['TC_RS03630']	['CPn0547']	['CTL0693']	['CT_434']
['TC_RS01810']	['CPn0325']	['CTL0343']	['CT_088']
['TC_RS03930']	['CPn0606']	['CTL0749']	['CT_488']
['TC_RS00900']	['CPn0942']	['CTL0162']	['CT_794']
['TC_RS02625']	['CPn0305']	['CTL0498']	['CT_246']
['TC_RS01730']	['CPn0345']	['CTL0327']	['CT_071']
['TC_RS04040']	['CPn0627']	['CTL0770']	['CT_508']
['TC_RS01635']	['CPn0377']	['CTL0311']	['CT_055']
['TC_RS03330']	['CPn1025']	['CTL0633']	['CT_378']
['TC_RS03465']	['CPn0530']	['CTL0660']	['CT_403']
['TC_RS02525']	['CPn0601']	['CTL0478']	['CT_226']
['TC_RS02260']	['CPnt07']	['CTL_t14']	['CT_t05']
['TC_RS00430']	['CPn0849']	['CTL0077']	['CT_708']
['TC_RS01270']	['CPn1021']	['CTL0237']	['CT_862']
