Query	Best Match(es)
CPn0803	{'TC_RS04430': 76.94}
CPn0658	{'TC_RS04190': 78.15}
CPn0550	{'TC_RS03645': 79.28}
TC_RS02985	{'CPn0080': 82.53}
CPn0275	{'TC_RS02315': 74.3}
TC_RS01080	{'CPn0984': 74.52}
TC_RS02775	{'CPn0424': 77.38}
TC_RS00930	{'CPnt34': 98.61}
TC_RS01690	{'CPn0351': 75.03}
TC_RS00690	{'CPn0893': 72.84}
CPn0387	{'TC_RS01570': 81.6}
TC_RS03620	{'CPn0521': 74.18}
TC_RS02410	{'CPnt05': 100.0}
CPnt24	{'TC_RS00255': 100.0}
TC_RS02805	{'CPn0430': 72.98}
TC_RS03015	{'CPnt03': 95.71}
CPn0557	{'TC_RS03680': 74.84}
CPn0082	{'TC_RS02975': 79.38}
CPnt18	{'TC_RS03820': 97.3}
CPns02	{'TC_RS04740': 82.09}
TC_RS04690	{'CPn0746': 72.13}
CPn0424	{'TC_RS02775': 77.38}
CPn0850	{'TC_RS00435': 80.95}
CPnt28	{'TC_RS00025': 98.63}
TC_RS01195	{'CPn1006': 78.69}
CPn0756	{'TC_RS04595': 79.88}
CPn0430	{'TC_RS02805': 72.89}
TC_RS00675	{'CPnr01': 94.4}
CPnt30	{'TC_RS04530': 95.95}
CPnt10	{'TC_RS02080': 100.0}
TC_RS03680	{'CPn0557': 74.79}
CPnt26	{'TC_RS00235': 97.26}
CPnt04	{'TC_RS01540': 100.0}
TC_RS02080	{'CPnt10': 100.0}
CPnt06	{'TC_RS02405': 95.95}
CPnt05	{'TC_RS02410': 100.0}
TC_RS00195	{'CPn0709': 77.46}
TC_RS04685	{'CPnt29': 98.65}
CPn0080	{'TC_RS02985': 82.53}
CPn0876	{'TC_RS00565': 72.22}
TC_RS03560	{'CPnt16': 97.26}
CPnr02	{'TC_RS00605': 93.94}
TC_RS01820	{'CPn0323': 79.63}
CPn0895	{'TC_RS00700': 77.74}
TC_RS04015	{'CPnt21': 97.59}
CPn0893	{'TC_RS00690': 72.8}
CPns01	{'TC_RS04780': 83.1}
TC_RS03025	{'CPnt02': 95.83}
CPnt01	{'TC_RS03050': 91.94}
TC_RS03525	{'CPnt15': 97.7}
TC_RS03430	{'CPn0503': 79.28}
TC_RS00425	{'CPnt31': 98.61}
CPn0144	{'TC_RS02830': 75.43}
TC_RS03050	{'CPnt01': 91.94}
TC_RS00685	{'CPnr03': 93.04}
CPnt32	{'TC_RS00590': 95.95}
CPnt02	{'TC_RS03025': 95.83}
TC_RS01660	{'CPnt13': 98.67}
TC_RS02085	{'CPnt09': 97.59}
TC_RS04430	{'CPn0803': 76.94}
TC_RS03645	{'CPn0550': 79.28}
TC_RS00600	{'CPnr01': 94.4}
